nu,"Uc, v","Dphi, s"
5300,2.78,6.40E-05
5400,3.08,6.10E-05
5500,3.38,5.70E-05
5600,3.68,5.30E-05
5700,4,4.80E-05
5750,4.12,4.64E-05
5800,4.24,4.36E-05
5850,4.36,4.16E-05
5900,4.44,3.92E-05
5950,4.5,3.72E-05
6000,4.54,3.48E-05
6050,4.56,3.28E-05
6100,4.52,3.08E-05
6150,4.52,2.88E-05
6200,4.46,2.64E-05
6250,4.4,2.48E-05
6300,4.32,2.40E-05
6400,4.14,2.04E-05
6500,3.96,1.80E-05
6600,3.76,1.52E-05
6700,3.58,1.36E-05
6800,3.4,1.24E-05
6900,3.24,1.08E-05
