0,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410
70,410,410,410,410,410,410,410,180,130,130,145,130,130,405,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410
220,410,410,410,410,410,410,390,295,190,135,140,135,180,280,385,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410
370,410,410,410,410,405,390,360,305,245,190,165,200,260,320,355,390,405,410,410,410,410,410,410,410,410,410,410,410,410,410,410
520,410,410,405,400,390,375,355,325,295,270,250,275,310,340,360,380,400,405,410,410,410,410,410,410,410,410,410,410,410,410,410
670,405,405,400,395,385,375,360,345,330,320,310,325,335,350,365,380,310,400,405,410,410,410,410,410,410,410,410,410,410,410,410
820,405,400,400,390,385,380,365,360,350,350,340,350,360,365,375,380,390,400,400,405,410,410,410,410,410,410,410,410,410,410,410
970,405,400,400,390,390,385,375,370,370,365,360,370,370,375,380,380,390,400,400,405,410,410,410,410,410,410,410,410,410,410,410
1120,400,400,400,390,390,390,385,380,380,380,375,380,380,380,390,390,395,400,400,405,405,410,410,410,410,410,410,410,410,410,410
1270,400,400,395,395,395,390,390,385,385,385,380,385,385,390,390,390,395,400,400,405,405,410,410,410,410,410,410,410,410,410,410
