34,33.9982089,0.000144569971
34.5,34.5015216,0.000145483045
35,35.0022434,0.000146320188
35.5,35.4996648,0.000147220064
36,35.9982177,0.000148075354
36.5,36.4999671,0.000148991362
37,36.9974181,0.000149815113
37.5,37.498996,0.000150667859
38,37.9976055,0.000151499094
38.5,38.4997877,0.000152399163
39,38.9984961,0.000153206048
39.5,39.4982799,0.000154178111
40,39.9984322,0.000154871314
