"U, В","I, мА","U_, В","I_, мА"
24.4,61,24.5,65
24,61,24,64
23.1,60,23.3,64
22.1,60,22,63
21.1,60,21.2,62
20,59,20,62
19,58,19,61
18.1,57,18,60
17,56,16.9,59
16.2,56,16.1,58
15,54,15,56
14,53,13.9,54
13,51,13,53
12,49,12,50
11,47,11.1,48
10,45,10,45
9.1,43,9.2,43
8.1,40,8.1,39
7,36,7,36
6,33,6,32
5,29,5,28
4.1,25,4.1,24
3,20,3,19
2,15,2,13
0.9,10,0.9,8
