"U, В","I, мА","U_, В","I_, мА"
24.9,38,24.8,40
24,38,24,40
22,38,22.8,40
22,37,21.8,39
21,37,21.1,39
20.1,36,20.1,38
18.8,36,19.1,38
18,35,18,38
17.2,35,17.1,37
15.9,35,15.9,36
13.9,33,13.9,35
13.1,33,13,34
12,32,12,33
11.1,31,11.1,32
10.1,30,10,31
9,28,9,29
8,28,8.1,27
7.1,24,7.1,25
6.1,22,6,22
5.1,19,5.1,19
3.9,16,3.9,15
3,12,3,12
2.1,9,2.1,8
0.9,5,0.9,4
