"U, В","I, мА","U_, В","I_, мА"
24.9,89,24.8,94
24.1,88,24.1,93
23,88,23,92
21.9,87,21.9,91
21,86,21,90
20.1,85,20.1,89
19.1,84,19.2,87
18,83,18,85
16.9,81,16.5,82
15,77,15,78
14.1,75,14.2,76
13.1,72,13.1,73
12,69,12,69
11.2,67,11,66
10,63,10,61
9,59,9,57
8,54,8,52
7,50,7.1,48
6,45,6,43
5.2,42,5.2,39
4,35,4,33
3.1,30,3,27
1.9,23,1.9,21
1,18,1,15
