"U, В","I, мА","U_, В","I_, мА"
24.9,18,24.9,19
24,18,24,19
23,18,23,19
22.2,18,22.2,19
21.1,18,21.2,19
20,17,20,18
19,17,19,18
18.1,17,18.1,18
17,17,17,18
16.1,16,16.1,17
15.1,16,15.1,17
14.1,16,14.1,17
13,15,13,16
12.1,15,12.1,16
10.9,14,10.9,15
10.1,14,10.2,15
9.1,13,9.1,14
8,12,8,13
7,11,7,12
6.1,10,6.1,11
5,9,5.1,9
4.1,8,4.1,8
2.9,6,2.9,6
2.1,4,2.1,4
0.9,2,0.9,2
