0,1,10,20,50,100,150,200,250,300,500,1000
50,105.6,106.2,97.6,114,97.6,81,86.8,67.2,73.8,51.3,31.9
60,127.4,129,115.4,133.4,113.6,98,101.2,77.4,84.7,61.8,34.2
70,147.8,147.8,132.6,157,132.8,114,125.6,92.8,100.8,71.3,46.1
80,168.8,165.4,151.8,178.6,151,129,139.6,104.6,119.8,77.9,50.7
90,191,186.2,172.2,201.6,168,147,154.4,120,133.1,88.4,52.8
100,212,213,190.4,222,188.2,162,171.8,132.8,151.2,98.8,58.4
