0,1,10,20,50,100,150,200,250,300,500,1000
50,528,536,488,380,244,162,124,84,82,54,29
60,632,640,572,448,284,198,146,98,93,64,32
70,744,744,668,520,332,230,178,116,112,74,41
80,844,832,764,592,380,260,198,132,132,82,47
90,960,936,856,672,420,292,222,150,149,92,48
100,1060,1060,952,740,468,322,244,166,168,104,54
