Время,Канал A
(uс),(В)

-623.14735260,0.26459550
-622.98735260,0.39704580
-622.82735260,0.57359540
-622.66735260,0.75014500
-622.50735260,0.92654190
-622.34735260,1.05899200
-622.18735260,1.23554200
-622.02735261,1.36784000
-621.86735261,1.50029000
-621.70735261,1.67683900
-621.54735261,1.80913700
-621.38735261,1.94158800
-621.22735261,2.07403800
-621.06735261,2.16223600
-620.90735261,2.33878600
-620.74735261,2.42698500
-620.58735261,2.51533600
-620.42735262,2.64763300
-620.26735262,2.73598400
-620.10735262,2.82418300
-619.94735262,2.91253400
-619.78735262,3.00073200
-619.62735262,3.04483200
-619.46735262,3.08893100
-619.30735262,3.17728200
-619.14735262,3.22138100
-618.98735262,3.22138100
-618.82735262,3.26548100
-618.66735263,3.30958000
-618.50735263,3.30958000
-618.34735263,3.30958000
-618.18735263,3.30958000
-618.02735263,3.30958000
-617.86735263,3.26548100
-617.70735263,3.26548100
-617.54735263,3.22138100
-617.38735263,3.17728200
-617.22735263,3.13318300
-617.06735264,3.08893100
-616.90735264,3.00073200
-616.74735264,2.91253400
-616.58735264,2.86828200
-616.42735264,2.73598400
-616.26735264,2.69188500
-616.10735264,2.55943500
-615.94735264,2.42698500
-615.78735264,2.33878600
-615.62735264,2.20633600
-615.46735265,2.07403800
-615.30735265,1.94158800
-615.14735265,1.80913700
-614.98735265,1.67683900
-614.82735265,1.50029000
-614.66735265,1.32374000
-614.50735265,1.19144300
-614.34735265,1.05899200
-614.18735265,0.88244270
-614.02735265,0.70589310
-613.86735266,0.57359540
-613.70735266,0.39704580
-613.54735266,0.22049620
-613.38735266,0.04394665
-613.22735266,-0.13245030
-613.06735266,-0.26474810
-612.90735266,-0.44129770
-612.74735266,-0.61784720
-612.58735266,-0.79439680
-612.42735266,-0.92669450
-612.26735266,-1.10324400
-612.10735267,-1.27979400
-611.94735267,-1.45634300
-611.78735267,-1.54454200
-611.62735267,-1.72109100
-611.46735267,-1.85338900
-611.30735267,-2.02993900
-611.14735267,-2.16238900
-610.98735267,-2.25058700
-610.82735267,-2.38303800
-610.66735267,-2.51533600
-610.50735268,-2.60368700
-610.34735268,-2.73598400
-610.18735268,-2.82433600
-610.02735268,-2.91253400
-609.86735268,-3.00088500
-609.70735268,-3.04498400
-609.54735268,-3.13318300
-609.38735268,-3.22153400
-609.22735268,-3.26563300
-609.06735268,-3.30973200
-608.90735269,-3.30973200
-608.74735269,-3.35383200
-608.58735269,-3.39808300
-608.42735269,-3.39808300
-608.26735269,-3.39808300
-608.10735269,-3.39808300
-607.94735269,-3.35383200
-607.78735269,-3.30973200
-607.62735269,-3.30973200
-607.46735269,-3.26563300
-607.30735269,-3.22153400
-607.14735270,-3.13318300
