Время,Канал A
(uс),(В)

-623.06440668,-0.26474810
-622.90440668,-0.26474810
-622.74440668,-0.22064880
-622.58440668,-0.22064880
-622.42440669,-0.17654960
-622.26440669,-0.13245030
-622.10440669,-0.13245030
-621.94440669,-0.13245030
-621.78440669,-0.13245030
-621.62440669,-0.08835109
-621.46440669,-0.08835109
-621.30440669,-0.04425184
-621.14440669,-0.04425184
-620.98440669,-0.00015259
-620.82440670,0.04394665
-620.66440670,0.04394665
-620.50440670,0.04394665
-620.34440670,0.08819849
-620.18440670,0.08819849
-620.02440670,0.08819849
-619.86440670,0.13229770
-619.70440670,0.13229770
-619.54440670,0.17639700
-619.38440670,0.17639700
-619.22440671,0.22049620
-619.06440671,0.26459550
-618.90440671,0.26459550
-618.74440671,0.26459550
-618.58440671,0.30884730
-618.42440671,0.30884730
-618.26440671,0.35294650
-618.10440671,0.35294650
-617.94440671,0.39704580
-617.78440671,0.39704580
-617.62440671,0.39704580
-617.46440672,0.44114510
-617.30440672,0.44114510
-617.14440672,0.48524430
-616.98440672,0.48524430
-616.82440672,0.52949610
-616.66440672,0.57359540
-616.50440672,0.57359540
-616.34440672,0.57359540
-616.18440672,0.61769460
-616.02440672,0.61769460
-615.86440673,0.66179390
-615.70440673,0.66179390
-615.54440673,0.70589310
-615.38440673,0.75014500
-615.22440673,0.75014500
-615.06440673,0.75014500
-614.90440673,0.75014500
-614.74440673,0.79424420
-614.58440673,0.79424420
-614.42440673,0.83834340
-614.26440674,0.83834340
-614.10440674,0.88244270
-613.94440674,0.92654190
-613.78440674,0.92654190
-613.62440674,0.92654190
-613.46440674,0.97079380
-613.30440674,0.97079380
-613.14440674,0.97079380
-612.98440674,1.01489300
-612.82440674,1.05899200
-612.66440675,1.10309100
-612.50440675,1.10309100
-612.34440675,1.10309100
-612.18440675,1.10309100
-612.02440675,1.14719100
-611.86440675,1.14719100
-611.70440675,1.14719100
-611.54440675,1.19144300
-611.38440675,1.19144300
-611.22440675,1.23554200
-611.06440675,1.23554200
-610.90440676,1.27964100
-610.74440676,1.27964100
-610.58440676,1.27964100
-610.42440676,1.32374000
-610.26440676,1.32374000
-610.10440676,1.36784000
-609.94440676,1.36784000
-609.78440676,1.36784000
-609.62440676,1.41209100
-609.46440676,1.45619100
-609.30440677,1.45619100
-609.14440677,1.45619100
-608.98440677,1.45619100
-608.82440677,1.50029000
-608.66440677,1.54438900
-608.50440677,1.50029000
-608.34440677,1.54438900
-608.18440677,1.54438900
-608.02440677,1.58848800
-607.86440677,1.58848800
-607.70440678,1.63274000
-607.54440678,1.63274000
-607.38440678,1.63274000
-607.22440678,1.67683900
-607.06440678,1.67683900
-606.90440678,1.72093900
-606.74440678,1.72093900
