Частота,Канал A
(kГц),(В)

0.00000000,8.17897700
0.01192093,3.55577300
0.02384186,0.60918770
0.03576279,0.00420446
0.04768372,0.00505114
0.05960464,0.00375681
0.07152557,0.00077848
0.08344650,0.00296799
0.09536743,0.00440678
0.10728836,0.00508046
0.11920929,0.00342609
0.13113022,0.00105864
0.14305115,0.00585707
0.15497208,0.00766503
0.16689301,0.00370400
0.17881393,0.00219805
0.19073486,0.00604475
0.20265579,0.00595612
0.21457672,0.00113178
0.22649765,0.00215437
0.23841858,0.00421653
0.25033951,0.00429261
0.26226044,0.00381785
0.27418137,0.00142937
0.28610229,0.00264177
0.29802322,0.00716334
0.30994415,0.00683757
0.32186508,0.00260333
0.33378601,0.00296717
0.34570694,0.00655033
0.35762787,0.00480231
0.36954880,0.00076735
0.38146973,0.00334318
0.39339066,0.00563463
0.40531158,0.00408127
0.41723251,0.00263943
0.42915344,0.00176023
0.44107437,0.00306330
0.45299530,0.00634063
0.46491623,0.00498932
0.47683716,0.03945376
0.48875809,0.20000320
0.50067902,0.31129280
0.51259995,0.17856830
0.52452087,0.02972682
0.53644180,0.00475276
0.54836273,0.00566355
0.56028366,0.00248050
0.57220459,0.00149984
0.58412552,0.00278564
0.59604645,0.00439882
0.60796738,0.00558412
0.61988831,0.00304529
0.63180923,0.00142859
0.64373016,0.00762183
0.65565109,0.00940359
0.66757202,0.00383444
0.67949295,0.00200395
0.69141388,0.00583720
0.70333481,0.00512903
0.71525574,0.00119264
0.72717667,0.00187328
0.73909760,0.00409209
0.75101852,0.00423347
0.76293945,0.00359951
0.77486038,0.00156439
0.78678131,0.00239446
0.79870224,0.00730824
0.81062317,0.00682347
0.82254410,0.00217931
0.83446503,0.00227965
0.84638596,0.00508799
0.85830688,0.00332010
0.87022781,0.00131218
0.88214874,0.00342812
0.89406967,0.00493597
0.90599060,0.00335073
0.91791153,0.00239560
0.92983246,0.00210975
0.94175339,0.00372021
0.95367432,0.00703448
0.96559525,0.00502891
0.97751617,0.04442018
0.98943710,0.20970990
1.00135803,0.30889790
1.01327896,0.16734530
1.02519989,0.02574671
1.03712082,0.00434734
1.04904175,0.00509761
1.06096268,0.00215448
1.07288361,0.00170496
1.08480453,0.00325602
1.09672546,0.00445803
1.10864639,0.00536306
1.12056732,0.00295605
1.13248825,0.00150753
1.14440918,0.00831190
1.15633011,0.00988088
1.16825104,0.00393287
1.18017197,0.00215444
1.19209290,0.00524853
1.20401382,0.00465030
1.21593475,0.00084894
1.22785568,0.00233424
1.23977661,0.00424586
1.25169754,0.00414199
1.26361847,0.00357030
1.27553940,0.00167767
1.28746033,0.00258503
1.29938126,0.00764450
1.31130219,0.00694260
1.32322311,0.00219655
1.33514404,0.00202910
1.34706497,0.00367393
1.35898590,0.00228650
1.37090683,0.00130206
1.38282776,0.00365663
1.39474869,0.00512170
1.40666962,0.00321757
1.41859055,0.00211612
1.43051147,0.00215833
1.44243240,0.00358788
1.45435333,0.00669898
1.46627426,0.00479219
1.47819519,0.04978591
1.49011612,0.21868310
1.50203705,0.30487640
1.51395798,0.15571940
1.52587891,0.02180975
1.53779984,0.00466247
1.54972076,0.00480363
1.56164169,0.00158250
1.57356262,0.00213277
1.58548355,0.00357023
1.59740448,0.00440503
1.60932541,0.00488506
1.62124634,0.00232123
1.63316727,0.00285087
1.64508820,0.01036593
1.65700912,0.01095183
1.66893005,0.00344411
1.68085098,0.00219405
1.69277191,0.00486061
1.70469284,0.00390561
1.71661377,0.00072459
1.72853470,0.00267456
1.74045563,0.00465693
1.75237656,0.00426372
1.76429749,0.00342501
1.77621841,0.00178744
1.78813934,0.00368724
1.80006027,0.00851211
1.81198120,0.00703355
1.82390213,0.00243161
1.83582306,0.00155778
1.84774399,0.00185759
1.85966492,0.00139789
1.87158585,0.00180203
1.88350677,0.00372318
1.89542770,0.00487413
1.90734863,0.00237853
1.91926956,0.00134432
1.93119049,0.00248891
1.94311142,0.00461808
1.95503235,0.00728189
1.96695328,0.00501900
1.97887421,0.05593446
1.99079514,0.22710800
2.00271606,0.29950000
2.01463699,0.14429700
2.02655792,0.01861516
2.03847885,0.00423311
2.05039978,0.00396519
2.06232071,0.00102211
2.07424164,0.00162251
2.08616257,0.00338294
2.09808350,0.00440182
2.11000443,0.00464123
2.12192535,0.00216445
2.13384628,0.00373547
2.14576721,0.01217054
2.15768814,0.01233448
2.16960907,0.00369587
2.18153000,0.00222699
2.19345093,0.00430423
2.20537186,0.00290842
2.21729279,0.00067297
2.22921371,0.00271763
2.24113464,0.00452356
2.25305557,0.00392799
2.26497650,0.00285314
2.27689743,0.00118501
2.28881836,0.00439120
2.30073929,0.00945146
2.31266022,0.00748705
2.32458115,0.00209659
2.33650208,0.00101726
2.34842300,0.00061686
2.36034393,0.00164518
2.37226486,0.00199023
2.38418579,0.00416150
2.39610672,0.00501315
2.40802765,0.00241683
2.41994858,0.00144917
2.43186951,0.00216289
2.44379044,0.00431791
2.45571136,0.00718706
2.46763229,0.00524578
2.47955322,0.06209027
2.49147415,0.23469240
2.50339508,0.29317920
2.51531601,0.13325790
2.52723694,0.01596188
2.53915787,0.00466455
2.55107880,0.00426249
2.56299973,0.00141526
2.57492065,0.00177993
2.58684158,0.00373749
2.59876251,0.00474605
2.61068344,0.00473717
2.62260437,0.00196575
2.63452530,0.00456149
2.64644623,0.01336413
2.65836716,0.01279176
2.67028809,0.00375241
2.68220901,0.00184863
2.69412994,0.00349234
2.70605087,0.00232133
2.71797180,0.00097707
2.72989273,0.00313661
2.74181366,0.00453647
2.75373459,0.00350790
2.76565552,0.00269999
2.77757645,0.00157964
2.78949738,0.00494375
2.80141830,0.00958001
2.81333923,0.00683906
2.82526016,0.00212862
2.83718109,0.00158829
2.84910202,0.00107141
2.86102295,0.00197350
2.87294388,0.00216626
2.88486481,0.00357375
2.89678574,0.00418707
2.90870667,0.00177445
2.92062759,0.00126210
2.93254852,0.00303764
2.94446945,0.00534067
2.95639038,0.00756073
2.96831131,0.00561977
2.98023224,0.06829794
2.99215317,0.24080910
3.00407410,0.28470330
3.01599503,0.12150640
3.02791595,0.01305743
3.03983688,0.00444866
3.05175781,0.00358567
3.06367874,0.00072070
3.07559967,0.00216491
3.08752060,0.00414760
3.09944153,0.00478621
3.11136246,0.00452638
3.12328339,0.00190977
3.13520432,0.00558541
3.14712524,0.01509385
3.15904617,0.01354128
3.17096710,0.00375574
3.18288803,0.00165413
3.19480896,0.00295353
3.20672989,0.00196201
3.21865082,0.00119516
3.23057175,0.00306851
3.24249268,0.00447677
3.25441360,0.00316683
3.26633453,0.00227958
3.27825546,0.00159293
3.29017639,0.00507964
3.30209732,0.00978963
3.31401825,0.00715437
3.32593918,0.00253318
3.33786011,0.00238019
3.34978104,0.00275694
3.36170197,0.00287327
3.37362289,0.00235397
3.38554382,0.00368352
3.39746475,0.00419208
3.40938568,0.00170732
3.42130661,0.00112161
3.43322754,0.00287359
3.44514847,0.00491513
3.45706940,0.00716590
3.46899033,0.00622914
3.48091125,0.07496504
3.49283218,0.24607960
3.50475311,0.27547840
3.51667404,0.11038530
3.52859497,0.01054849
3.54051590,0.00419251
3.55243683,0.00320269
3.56435776,0.00053365
3.57627869,0.00191436
3.58819962,0.00361129
3.60012054,0.00420736
3.61204147,0.00395530
3.62396240,0.00153165
3.63588333,0.00663259
3.64780426,0.01643857
3.65972519,0.01416874
3.67164612,0.00396041
3.68356705,0.00167140
3.69548798,0.00171071
3.70740891,0.00096186
3.71932983,0.00153106
3.73125076,0.00357773
3.74317169,0.00450196
3.75509262,0.00301775
3.76701355,0.00215907
3.77893448,0.00213282
3.79085541,0.00599669
3.80277634,0.01008603
3.81469727,0.00647652
3.82661819,0.00248118
3.83853912,0.00380034
3.85046005,0.00453234
3.86238098,0.00371956
3.87430191,0.00280755
3.88622284,0.00392350
3.89814377,0.00402328
3.91006470,0.00141595
3.92198563,0.00153921
3.93390656,0.00352678
3.94582748,0.00527221
3.95774841,0.00695389
3.96966934,0.00683205
3.98159027,0.08169319
3.99351120,0.25034480
4.00543213,0.26523290
4.01735306,0.09968599
4.02927399,0.00850026
4.04119492,0.00351684
4.05311584,0.00232751
4.06503677,0.00045553
4.07695770,0.00245503
4.08887863,0.00396045
4.10079956,0.00409810
4.11272049,0.00382348
4.12464142,0.00170075
4.13656235,0.00764008
4.14848328,0.01770567
4.16040421,0.01442236
4.17232513,0.00345075
4.18424606,0.00156939
4.19616699,0.00157852
4.20808792,0.00144401
4.22000885,0.00177395
4.23192978,0.00284747
4.24385071,0.00402125
4.25577164,0.00281899
4.26769257,0.00213760
4.27961349,0.00208771
4.29153442,0.00623583
4.30345535,0.01041940
4.31537628,0.00664944
4.32729721,0.00298876
4.33921814,0.00500421
4.35113907,0.00583343
4.36306000,0.00401419
4.37498093,0.00240192
4.38690186,0.00335324
4.39882278,0.00325894
4.41074371,0.00053964
4.42266464,0.00133114
4.43458557,0.00317580
4.44650650,0.00520912
4.45842743,0.00667569
4.47034836,0.00718256
4.48226929,0.08788771
4.49419022,0.25302050
4.50611115,0.25398540
4.51803207,0.08954901
4.52995300,0.00721952
4.54187393,0.00321501
4.55379486,0.00195357
4.56571579,0.00083480
4.57763672,0.00221160
4.58955765,0.00372126
4.60147858,0.00413599
4.61339951,0.00372780
4.62532043,0.00152632
4.63724136,0.00791961
4.64916229,0.01795976
4.66108322,0.01411986
4.67300415,0.00353164
4.68492508,0.00141798
4.69684601,0.00041330
4.70876694,0.00172125
4.72068787,0.00234041
4.73260880,0.00318004
4.74452972,0.00390249
4.75645065,0.00235427
4.76837158,0.00183881
4.78029251,0.00214593
4.79221344,0.00660434
4.80413437,0.01045898
4.81605530,0.00615415
4.82797623,0.00281004
4.83989716,0.00569201
4.85181808,0.00685936
4.86373901,0.00446189
4.87565994,0.00239194
4.88758087,0.00344984
4.89950180,0.00329339
4.91142273,0.00071261
4.92334366,0.00175886
4.93526459,0.00339121
4.94718552,0.00489450
4.95910645,0.00611459
4.97102737,0.00842265
4.98294830,0.09437914
4.99486923,0.25424980
5.00679016,0.24186000
5.01871109,0.07988016
5.03063202,0.00571201
5.04255295,0.00289810
5.05447388,0.00166948
5.06639481,0.00105397
5.07831573,0.00251634
5.09023666,0.00397997
5.10215759,0.00403276
5.11407852,0.00338873
5.12599945,0.00180662
5.13792038,0.00969270
5.14984131,0.01950610
5.16176224,0.01411433
5.17368317,0.00316093
5.18560410,0.00144417
5.19752502,0.00045692
5.20944595,0.00205975
5.22136688,0.00224909
5.23328781,0.00290180
5.24520874,0.00366684
5.25712967,0.00212342
5.26905060,0.00176700
5.28097153,0.00265295
5.29289246,0.00709997
5.30481339,0.01066770
5.31673431,0.00612359
5.32865524,0.00343936
5.34057617,0.00696152
5.35249710,0.00801203
5.36441803,0.00499298
5.37633896,0.00286333
5.38825989,0.00345098
5.40018082,0.00269594
5.41210175,0.00016631
5.42402267,0.00177381
5.43594360,0.00391812
5.44786453,0.00540685
5.45978546,0.00600173
5.47170639,0.00939822
5.48362732,0.10031570
5.49554825,0.25401650
5.50746918,0.22866820
5.51939011,0.07003804
5.53131104,0.00385933
5.54323196,0.00220627
5.55515289,0.00169090
5.56707382,0.00127783
5.57899475,0.00274105
5.59091568,0.00399115
5.60283661,0.00371163
5.61475754,0.00295677
5.62667847,0.00185986
5.63859940,0.01053516
5.65052032,0.02016183
5.66244125,0.01408595
5.67436218,0.00343103
5.68628311,0.00175477
5.69820404,0.00110315
5.71012497,0.00214926
5.72204590,0.00213065
5.73396683,0.00346450
5.74588776,0.00370184
5.75780869,0.00154191
5.76972961,0.00165480
5.78165054,0.00327402
5.79357147,0.00751825
5.80549240,0.00997825
5.81741333,0.00507089
5.82933426,0.00367239
5.84125519,0.00841215
5.85317612,0.00914609
5.86509705,0.00493491
5.87701797,0.00206881
5.88893890,0.00306784
5.90085983,0.00243803
5.91278076,0.00032258
5.92470169,0.00185827
5.93662262,0.00393780
5.94854355,0.00557304
5.96046448,0.00609153
5.97238541,0.01131354
5.98430634,0.10649960
5.99622726,0.25311120
6.00814819,0.21615430
6.02006912,0.06245098
6.03199005,0.00376044
6.04391098,0.00183987
6.05583191,0.00155108
6.06775284,0.00120555
6.07967377,0.00255376
6.09159470,0.00388333
6.10351563,0.00314903
6.11543655,0.00234425
6.12735748,0.00237128
6.13927841,0.01189360
6.15119934,0.02079653
6.16312027,0.01326654
6.17504120,0.00273824
6.18696213,0.00164803
6.19888306,0.00199860
6.21080399,0.00270604
6.22272491,0.00200079
6.23464584,0.00325741
6.24656677,0.00337409
6.25848770,0.00121771
6.27040863,0.00176171
6.28232956,0.00333701
6.29425049,0.00748954
6.30617142,0.00983684
6.31809235,0.00491120
6.33001328,0.00377907
6.34193420,0.00937346
6.35385513,0.00993627
6.36577606,0.00499488
6.37769699,0.00204927
6.38961792,0.00284206
6.40153885,0.00213112
6.41345978,0.00057042
6.42538071,0.00206838
6.43730164,0.00405556
6.44922256,0.00507198
6.46114349,0.00541770
6.47306442,0.01276597
6.48498535,0.11185200
6.49690628,0.24991110
6.50882721,0.20190180
6.52074814,0.05415483
6.53266907,0.00304992
6.54459000,0.00110254
6.55651093,0.00161963
6.56843185,0.00172406
6.58035278,0.00282345
6.59227371,0.00369263
6.60419464,0.00279335
6.61611557,0.00216021
6.62803650,0.00260381
6.63995743,0.01239045
6.65187836,0.02077843
6.66379929,0.01260723
6.67572021,0.00273154
6.68764114,0.00244101
6.69956207,0.00264883
6.71148300,0.00288543
6.72340393,0.00220452
6.73532486,0.00323352
6.74724579,0.00340299
6.75916672,0.00132940
6.77108765,0.00119475
6.78300858,0.00333277
6.79492950,0.00804767
6.80685043,0.00990407
6.81877136,0.00475937
6.83069229,0.00432301
6.84261322,0.01041780
6.85453415,0.01048100
6.86645508,0.00525167
6.87837601,0.00223837
6.89029694,0.00219119
6.90221786,0.00200670
6.91413879,0.00119919
6.92605972,0.00194063
