Частота,Канал A
(kГц),(В)

0.00000000,0.07501797
0.02384186,0.03247296
0.04768372,0.00515090
0.07152557,0.00061554
0.09536743,0.00043013
0.11920929,0.00047620
0.14305115,0.00035825
0.16689301,0.00028816
0.19073486,0.00036560
0.21457672,0.00031189
0.23841858,0.00025683
0.26226044,0.00037011
0.28610229,0.00035155
0.30994415,0.00018303
0.33378601,0.00027075
0.35762787,0.00053148
0.38146973,0.00030540
0.40531158,0.00033367
0.42915344,0.00038249
0.45299530,0.00015779
0.47683716,0.00019110
0.50067902,0.00018295
0.52452087,0.00034938
0.54836273,0.00025313
0.57220459,0.00016360
0.59604645,0.00018881
0.61988831,0.00039200
0.64373016,0.00019009
0.66757202,0.00013049
0.69141388,0.00024563
0.71525574,0.00024748
0.73909760,0.00016431
0.76293945,0.00019704
0.78678131,0.00011709
0.81062317,0.00027742
0.83446503,0.00008971
0.85830688,0.00018781
0.88214874,0.00039203
0.90599060,0.00052753
0.92983246,0.00042046
0.95367432,0.00032639
0.97751617,0.00031853
1.00135803,0.00043066
1.02519989,0.00032043
1.04904175,0.00002443
1.07288361,0.00012770
1.09672546,0.00012814
1.12056732,0.00035163
1.14440918,0.00046228
1.16825104,0.00022207
1.19209290,0.00036957
1.21593475,0.00092509
1.23977661,0.00087427
1.26361847,0.00062706
1.28746033,0.00059793
1.31130219,0.00035575
1.33514404,0.00020138
1.35898590,0.00022061
1.38282776,0.00026325
1.40666962,0.00034437
1.43051147,0.00035973
1.45435333,0.00035875
1.47819519,0.00014400
1.50203705,0.00030974
1.52587891,0.00019662
1.54972076,0.00009932
1.57356262,0.00033577
1.59740448,0.00033917
1.62124634,0.00021515
1.64508820,0.00020584
1.66893005,0.00018815
1.69277191,0.00008865
1.71661377,0.00020456
1.74045563,0.00047842
1.76429749,0.00052135
1.78813934,0.00032528
1.81198120,0.00045926
1.83582306,0.00053114
1.85966492,0.00025630
1.88350677,0.00023873
1.90734863,0.00023320
1.93119049,0.00022934
1.95503235,0.00009765
1.97887421,0.00043453
2.00271606,0.00040248
2.02655792,0.00002519
2.05039978,0.00027726
2.07424164,0.00032648
2.09808350,0.00024198
2.12192535,0.00000404
2.14576721,0.00016513
2.16960907,0.00012120
2.19345093,0.00006071
2.21729279,0.00021175
2.24113464,0.00024593
2.26497650,0.00012844
2.28881836,0.00017103
2.31266022,0.00018017
2.33650208,0.00018682
2.36034393,0.00029792
2.38418579,0.00024171
2.40802765,0.00027246
2.43186951,0.00030462
2.45571136,0.00017133
2.47955322,0.00011550
2.50339508,0.00023066
2.52723694,0.00033806
2.55107880,0.00027293
2.57492065,0.00030609
2.59876251,0.00014345
2.62260437,0.00021215
2.64644623,0.00033123
2.67028809,0.00029895
2.69412994,0.00062103
2.71797180,0.00076748
2.74181366,0.00047062
2.76565552,0.00029413
2.78949738,0.00016114
2.81333923,0.00015636
2.83718109,0.00035873
2.86102295,0.00042342
2.88486481,0.00051095
2.90870667,0.00047625
2.93254852,0.00020980
2.95639038,0.00018624
2.98023224,0.00040042
3.00407410,0.00035296
3.02791595,0.00027336
3.05175781,0.00023761
3.07559967,0.00017524
3.09944153,0.00018216
3.12328339,0.00013198
3.14712524,0.00020027
3.17096710,0.00028796
3.19480896,0.00039659
3.21865082,0.00028198
3.24249268,0.00010323
3.26633453,0.00034089
3.29017639,0.00077463
3.31401825,0.00082118
3.33786011,0.00040129
3.36170197,0.00029668
3.38554382,0.00055687
3.40938568,0.00054438
3.43322754,0.00017810
3.45706940,0.00015063
3.48091125,0.00015785
3.50475311,0.00031752
3.52859497,0.00047128
3.55243683,0.00026641
3.57627869,0.00029692
3.60012054,0.00035792
3.62396240,0.00017996
3.64780426,0.00012288
3.67164612,0.00007390
3.69548798,0.00013555
3.71932983,0.00012672
3.74317169,0.00001369
3.76701355,0.00011285
3.79085541,0.00024776
3.81469727,0.00022699
3.83853912,0.00028566
3.86238098,0.00058569
3.88622284,0.00080506
3.91006470,0.00087699
3.93390656,0.00043949
3.95774841,0.00022010
3.98159027,0.00064020
4.00543213,0.00058644
4.02927399,0.00046380
4.05311584,0.00046774
4.07695770,0.00034591
4.10079956,0.00021424
4.12464142,0.00013484
4.14848328,0.00035481
4.17232513,0.00051951
4.19616699,0.00032700
4.22000885,0.00004772
4.24385071,0.00027693
4.26769257,0.00028430
4.29153442,0.00020144
4.31537628,0.00013020
4.33921814,0.00021137
4.36306000,0.00042203
4.38690186,0.00034756
4.41074371,0.00028435
4.43458557,0.00042054
4.45842743,0.00043708
4.48226929,0.00027819
4.50611115,0.00043047
4.52995300,0.00043984
4.55379486,0.00028880
4.57763672,0.00026545
4.60147858,0.00061166
4.62532043,0.00043917
4.64916229,0.00011907
4.67300415,0.00023554
4.69684601,0.00030353
4.72068787,0.00012434
4.74452972,0.00038568
4.76837158,0.00064634
4.79221344,0.00053982
4.81605530,0.00017412
4.83989716,0.00008065
4.86373901,0.00028891
4.88758087,0.00037415
4.91142273,0.00035610
4.93526459,0.00032850
4.95910645,0.00043559
4.98294830,0.00053327
5.00679016,0.00042662
5.03063202,0.00036395
5.05447388,0.00046615
5.07831573,0.00040179
5.10215759,0.00025729
5.12599945,0.00003094
5.14984131,0.00012447
5.17368317,0.00024456
5.19752502,0.00011609
5.22136688,0.00012913
5.24520874,0.00003118
5.26905060,0.00026877
5.29289246,0.00038502
5.31673431,0.00037747
5.34057617,0.00026530
5.36441803,0.00014979
5.38825989,0.00018041
5.41210175,0.00025038
5.43594360,0.00035809
5.45978546,0.00033983
5.48362732,0.00019103
5.50746918,0.00028241
5.53131104,0.00045822
5.55515289,0.00039945
5.57899475,0.00023709
5.60283661,0.00029360
5.62667847,0.00023396
5.65052032,0.00021704
5.67436218,0.00060824
5.69820404,0.00054952
5.72204590,0.00011479
5.74588776,0.00039446
5.76972961,0.00039092
5.79357147,0.00028922
5.81741333,0.00060381
5.84125519,0.00057523
5.86509705,0.00014550
5.88893890,0.00051666
5.91278076,0.00068425
5.93662262,0.00041727
5.96046448,0.00025702
5.98430634,0.00039357
6.00814819,0.00050194
6.03199005,0.00029816
6.05583191,0.00001363
6.07967377,0.00018690
6.10351563,0.00027128
6.12735748,0.00020866
6.15119934,0.00005689
6.17504120,0.00012382
6.19888306,0.00031191
6.22272491,0.00032411
6.24656677,0.00023622
6.27040863,0.00022516
6.29425049,0.00026752
6.31809235,0.00027401
6.34193420,0.00024357
6.36577606,0.00035941
6.38961792,0.00060977
6.41345978,0.00044034
6.43730164,0.00035993
6.46114349,0.00031724
6.48498535,0.00020247
6.50882721,0.00028937
6.53266907,0.00036511
6.55651093,0.00040268
6.58035278,0.00042300
6.60419464,0.00025621
6.62803650,0.00024612
6.65187836,0.00020178
6.67572021,0.00026037
6.69956207,0.00046449
6.72340393,0.00024322
6.74724579,0.00010260
6.77108765,0.00025052
6.79492950,0.00047682
6.81877136,0.00043418
6.84261322,0.00026660
6.86645508,0.00047316
6.89029694,0.00050338
6.91413879,0.00043495
6.93798065,0.00041319
6.96182251,0.00032197
6.98566437,0.00015856
7.00950623,0.00007317
7.03334808,0.00030079
7.05718994,0.00065327
7.08103180,0.00037213
7.10487366,0.00008368
7.12871552,0.00016105
7.15255737,0.00027336
7.17639923,0.00043347
7.20024109,0.00046616
7.22408295,0.00029406
7.24792480,0.00006386
7.27176666,0.00012997
7.29560852,0.00031810
7.31945038,0.00036768
7.34329224,0.00024892
7.36713409,0.00009077
7.39097595,0.00009050
7.41481781,0.00025631
7.43865967,0.00033147
7.46250153,0.00018276
7.48634338,0.00016309
7.51018524,0.00037125
7.53402710,0.00025359
7.55786896,0.00002942
7.58171082,0.00002068
7.60555267,0.00015512
7.62939453,0.00047957
7.65323639,0.00055546
7.67707825,0.00021448
7.70092010,0.00031924
7.72476196,0.00035626
7.74860382,0.00051379
7.77244568,0.00032860
7.79628754,0.00014092
7.82012939,0.00018171
7.84397125,0.00015648
7.86781311,0.00063894
7.89165497,0.00006024
7.91549683,0.00067002
7.93933868,0.00488781
7.96318054,0.09867951
7.98702240,0.30454810
8.01086426,0.32223900
8.03470612,0.11987930
8.05854797,0.00826795
8.08238983,0.00070196
8.10623169,0.00028049
8.13007355,0.00038849
8.15391541,0.00031099
8.17775726,0.00024743
8.20159912,0.00015608
8.22544098,0.00016647
8.24928284,0.00025439
8.27312469,0.00027301
8.29696655,0.00026184
8.32080841,0.00033243
8.34465027,0.00024978
8.36849213,0.00026907
8.39233398,0.00020949
8.41617584,0.00017295
8.44001770,0.00027113
8.46385956,0.00025164
8.48770142,0.00011440
8.51154327,0.00060762
8.53538513,0.00074670
8.55922699,0.00055431
8.58306885,0.00022323
8.60691071,0.00050210
8.63075256,0.00051798
8.65459442,0.00018951
8.67843628,0.00025296
8.70227814,0.00043964
8.72612000,0.00029813
8.74996185,0.00028014
8.77380371,0.00036774
8.79764557,0.00040089
8.82148743,0.00017670
8.84532928,0.00023178
8.86917114,0.00027901
8.89301300,0.00012975
8.91685486,0.00031680
8.94069672,0.00025921
8.96453857,0.00025435
8.98838043,0.00011230
9.01222229,0.00029049
9.03606415,0.00036551
9.05990601,0.00019030
9.08374786,0.00021676
9.10758972,0.00020802
9.13143158,0.00017439
9.15527344,0.00024788
9.17911530,0.00019529
9.20295715,0.00013176
9.22679901,0.00032959
9.25064087,0.00045126
9.27448273,0.00031537
9.29832458,0.00017784
9.32216644,0.00027432
9.34600830,0.00027693
9.36985016,0.00027893
9.39369202,0.00014656
9.41753387,0.00014876
9.44137573,0.00036879
9.46521759,0.00046848
9.48905945,0.00035823
9.51290131,0.00037952
9.53674316,0.00034204
9.56058502,0.00014850
9.58442688,0.00014229
9.60826874,0.00030401
9.63211060,0.00018142
9.65595245,0.00008867
9.67979431,0.00022273
9.70363617,0.00025770
9.72747803,0.00032032
9.75131989,0.00024526
9.77516174,0.00044030
9.79900360,0.00042486
9.82284546,0.00025557
9.84668732,0.00103853
9.87052917,0.00092767
9.89437103,0.00142454
9.91821289,0.00134972
9.94205475,0.03138238
9.96589661,0.47589000
9.98973846,1.28707700
10.01358032,1.22154000
10.03742218,0.39713910
10.06126404,0.01895257
10.08510590,0.00180763
10.10894775,0.00150827
10.13278961,0.00084142
10.15663147,0.00100942
10.18047333,0.00015784
10.20431519,0.00061543
10.22815704,0.00001731
10.25199890,0.00024817
10.27584076,0.00022600
10.29968262,0.00010317
10.32352448,0.00019345
10.34736633,0.00033800
10.37120819,0.00026792
10.39505005,0.00012999
10.41889191,0.00016561
10.44273376,0.00024553
10.46657562,0.00040481
10.49041748,0.00034629
10.51425934,0.00021962
10.53810120,0.00005245
10.56194305,0.00001465
10.58578491,0.00026491
10.60962677,0.00037806
10.63346863,0.00031998
10.65731049,0.00053990
10.68115234,0.00082656
10.70499420,0.00073589
10.72883606,0.00040273
10.75267792,0.00043094
10.77651978,0.00066913
10.80036163,0.00071531
10.82420349,0.00046619
10.84804535,0.00014526
10.87188721,0.00018288
10.89572906,0.00013736
10.91957092,0.00012374
10.94341278,0.00034013
10.96725464,0.00042972
10.99109650,0.00020824
11.01493835,0.00006517
11.03878021,0.00009018
11.06262207,0.00025886
11.08646393,0.00032721
11.11030579,0.00023712
11.13414764,0.00020585
11.15798950,0.00015780
11.18183136,0.00014212
11.20567322,0.00028819
11.22951508,0.00037475
11.25335693,0.00035832
11.27719879,0.00048255
11.30104065,0.00067976
11.32488251,0.00046238
11.34872437,0.00012830
11.37256622,0.00048131
11.39640808,0.00061430
11.42024994,0.00031325
11.44409180,0.00011576
11.46793365,0.00032146
11.49177551,0.00009196
11.51561737,0.00013618
11.53945923,0.00016217
11.56330109,0.00039004
11.58714294,0.00020486
11.61098480,0.00016490
11.63482666,0.00011508
11.65866852,0.00025352
11.68251038,0.00037682
11.70635223,0.00041757
11.73019409,0.00029248
11.75403595,0.00022987
11.77787781,0.00017654
11.80171967,0.00024135
11.82556152,0.00012618
11.84940338,0.00029863
11.87324524,0.00029480
11.89708710,0.00039828
11.92092896,0.00017062
11.94477081,0.01214024
11.96861267,0.14071200
11.99245453,0.33502510
12.01629639,0.28487100
12.04013824,0.08027012
12.06398010,0.00272311
12.08782196,0.00084363
12.11166382,0.00028884
12.13550568,0.00034448
12.15934753,0.00027909
12.18318939,0.00005152
12.20703125,0.00022882
12.23087311,0.00024684
12.25471497,0.00022175
12.27855682,0.00020346
12.30239868,0.00048707
12.32624054,0.00037982
12.35008240,0.00048907
12.37392426,0.00029106
12.39776611,0.00038284
12.42160797,0.00042024
12.44544983,0.00035421
12.46929169,0.00030529
12.49313354,0.00006041
12.51697540,0.00016891
12.54081726,0.00026958
12.56465912,0.00045380
12.58850098,0.00064882
12.61234283,0.00046554
12.63618469,0.00016006
12.66002655,0.00017917
12.68386841,0.00015317
12.70771027,0.00029425
12.73155212,0.00032287
12.75539398,0.00041985
12.77923584,0.00052157
12.80307770,0.00036397
12.82691956,0.00009556
12.85076141,0.00028648
12.87460327,0.00052947
12.89844513,0.00041398
12.92228699,0.00010877
12.94612885,0.00021241
12.96997070,0.00010617
12.99381256,0.00024989
13.01765442,0.00020516
13.04149628,0.00029816
13.06533813,0.00047484
13.08917999,0.00043539
13.11302185,0.00021374
13.13686371,0.00020325
13.16070557,0.00018263
13.18454742,0.00065778
13.20838928,0.00092108
13.23223114,0.00072606
13.25607300,0.00013792
13.27991486,0.00030877
13.30375671,0.00035335
13.32759857,0.00037131
13.35144043,0.00041111
13.37528229,0.00027653
13.39912415,0.00053554
13.42296600,0.00041701
13.44680786,0.00053977
13.47064972,0.00081062
13.49449158,0.00051186
13.51833344,0.00018219
13.54217529,0.00043134
13.56601715,0.00061722
13.58985901,0.00057881
13.61370087,0.00050596
13.63754272,0.00031860
13.66138458,0.00003844
13.68522644,0.00003572
13.70906830,0.00021203
13.73291016,0.00043992
13.75675201,0.00049941
13.78059387,0.00030378
13.80443573,0.00009046
13.82827759,0.00013732
13.85211945,0.00015004
