Частота,Канал A
(kГц),(В)

0.00000000,6.87207000
0.01192093,2.98890200
0.02384186,0.51511000
0.03576279,0.00497920
0.04768372,0.00681801
0.05960464,0.00386839
0.07152557,0.00242467
0.08344650,0.00187542
0.09536743,0.00068415
0.10728836,0.00063407
0.11920929,0.00127753
0.13113022,0.00510401
0.14305115,0.01616377
0.15497208,0.01919070
0.16689301,0.00803080
0.17881393,0.00135279
0.19073486,0.00185905
0.20265579,0.00164277
0.21457672,0.00034689
0.22649765,0.00209802
0.23841858,0.00424864
0.25033951,0.00480839
0.26226044,0.00378234
0.27418137,0.00113078
0.28610229,0.00206313
0.29802322,0.00124922
0.30994415,0.00083270
0.32186508,0.00137793
0.33378601,0.00861278
0.34570694,0.01877585
0.35762787,0.01472452
0.36954880,0.00525041
0.38146973,0.00146175
0.39339066,0.00249673
0.40531158,0.00110426
0.41723251,0.00082378
0.42915344,0.00221751
0.44107437,0.00483670
0.45299530,0.00680562
0.46491623,0.00438737
0.47683716,0.14599740
0.48875809,0.78465150
0.50067902,1.22586100
0.51259995,0.70021010
0.52452087,0.10876750
0.53644180,0.00486595
0.54836273,0.00626921
0.56028366,0.00479959
0.57220459,0.00247643
0.58412552,0.00171858
0.59604645,0.00203540
0.60796738,0.00124683
0.61988831,0.00153769
0.63180923,0.00489456
0.64373016,0.01495453
0.65565109,0.01764301
0.66757202,0.00655355
0.67949295,0.00128512
0.69141388,0.00471672
0.70333481,0.00445169
0.71525574,0.00105826
0.72717667,0.00163319
0.73909760,0.00337714
0.75101852,0.00424425
0.76293945,0.00393356
0.77486038,0.00192663
0.78678131,0.00328703
0.79870224,0.00387610
0.81062317,0.00325595
0.82254410,0.00167733
0.83446503,0.00825938
0.84638596,0.01646590
0.85830688,0.01239866
0.87022781,0.00454845
0.88214874,0.00197554
0.89406967,0.00382016
0.90599060,0.00207103
0.91791153,0.00145893
0.92983246,0.00181628
0.94175339,0.00453584
0.95367432,0.00651405
0.96559525,0.00400348
0.97751617,0.15940050
0.98943710,0.78619400
1.00135803,1.16106200
1.01327896,0.62598810
1.02519989,0.08842115
1.03712082,0.00385939
1.04904175,0.00492270
1.06096268,0.00399860
1.07288361,0.00201705
1.08480453,0.00287422
1.09672546,0.00345000
1.10864639,0.00260528
1.12056732,0.00161853
1.13248825,0.00430696
1.14440918,0.01331124
1.15633011,0.01495604
1.16825104,0.00533308
1.18017197,0.00198879
1.19209290,0.00727307
1.20401382,0.00652699
1.21593475,0.00232830
1.22785568,0.00161039
1.23977661,0.00260301
1.25169754,0.00379144
1.26361847,0.00362929
1.27553940,0.00200988
1.28746033,0.00461615
1.29938126,0.00691000
1.31130219,0.00560790
1.32322311,0.00206562
1.33514404,0.00674524
1.34706497,0.01227293
1.35898590,0.00890851
1.37090683,0.00339464
1.38282776,0.00295200
1.39474869,0.00500573
1.40666962,0.00294651
1.41859055,0.00179700
1.43051147,0.00050847
1.44243240,0.00295384
1.45435333,0.00470941
1.46627426,0.00220124
1.47819519,0.16679930
1.49011612,0.75667270
1.50203705,1.05681500
1.51395798,0.53732780
1.52587891,0.06877430
1.53779984,0.00265839
1.54972076,0.00340394
1.56164169,0.00304563
1.57356262,0.00172173
1.58548355,0.00357220
1.59740448,0.00428752
1.60932541,0.00384289
1.62124634,0.00186476
1.63316727,0.00269979
1.64508820,0.00955852
1.65700912,0.01030324
1.66893005,0.00330724
1.68085098,0.00263722
1.69277191,0.00867591
1.70469284,0.00776085
1.71661377,0.00309204
1.72853470,0.00140529
1.74045563,0.00123211
1.75237656,0.00261545
1.76429749,0.00268751
1.77621841,0.00211678
1.78813934,0.00545298
1.80006027,0.00879210
1.81198120,0.00689962
1.82390213,0.00195909
1.83582306,0.00435458
1.84774399,0.00712218
1.85966492,0.00543527
1.87158585,0.00272038
1.88350677,0.00300355
1.89542770,0.00530160
1.90734863,0.00379553
1.91926956,0.00277206
1.93119049,0.00031515
1.94311142,0.00186114
1.95503235,0.00338833
1.96695328,0.00222220
1.97887421,0.16669510
1.99079514,0.69831800
2.00271606,0.92296790
2.01463699,0.44270970
2.02655792,0.05168435
2.03847885,0.00128094
2.05039978,0.00172163
2.06232071,0.00196725
2.07424164,0.00144842
2.08616257,0.00378138
2.09808350,0.00473107
2.11000443,0.00456122
2.12192535,0.00183939
2.13384628,0.00104093
2.14576721,0.00449610
2.15768814,0.00430982
2.16960907,0.00112580
2.18153000,0.00397043
2.19345093,0.00988874
2.20537186,0.00839438
2.21729279,0.00346643
2.22921371,0.00108958
2.24113464,0.00044675
2.25305557,0.00147679
2.26497650,0.00152741
2.27689743,0.00252590
2.28881836,0.00637037
2.30073929,0.01028657
2.31266022,0.00766106
2.32458115,0.00197846
2.33650208,0.00125380
2.34842300,0.00106994
2.36034393,0.00176527
2.37226486,0.00162291
2.38418579,0.00363868
2.39610672,0.00549153
2.40802765,0.00412560
2.41994858,0.00271856
2.43186951,0.00132710
2.44379044,0.00016342
2.45571136,0.00155318
2.46763229,0.00240948
2.47955322,0.15791880
2.49147415,0.61270230
2.50339508,0.76640870
2.51531601,0.34622400
2.52723694,0.03622952
2.53915787,0.00117869
2.55107880,0.00166303
2.56299973,0.00071349
2.57492065,0.00119632
2.58684158,0.00368603
2.59876251,0.00483770
2.61068344,0.00474569
2.62260437,0.00171877
2.63452530,0.00170052
2.64644623,0.00110766
2.65836716,0.00105526
2.67028809,0.00132676
2.68220901,0.00401087
2.69412994,0.00928572
2.70605087,0.00768171
2.71797180,0.00365623
2.72989273,0.00120529
2.74181366,0.00141419
2.75373459,0.00029534
2.76565552,0.00087102
2.77757645,0.00237227
2.78949738,0.00615176
2.80141830,0.01026641
2.81333923,0.00705474
2.82526016,0.00095502
2.83718109,0.00299740
2.84910202,0.00519074
2.86102295,0.00254377
2.87294388,0.00071476
2.88486481,0.00358393
2.89678574,0.00508193
2.90870667,0.00413783
2.92062759,0.00245695
2.93254852,0.00201640
2.94446945,0.00160452
2.95639038,0.00157569
2.96831131,0.00378145
2.98023224,0.14049300
2.99215317,0.50490430
3.00407410,0.59766670
3.01599503,0.25408800
3.02791595,0.02419958
3.03983688,0.00288734
3.05175781,0.00251335
3.06367874,0.00067781
3.07559967,0.00166848
3.08752060,0.00374397
3.09944153,0.00534480
3.11136246,0.00520622
3.12328339,0.00201135
3.13520432,0.00426350
3.14712524,0.00704170
3.15904617,0.00630776
3.17096710,0.00263763
3.18288803,0.00370337
3.19480896,0.00782754
3.20672989,0.00665976
3.21865082,0.00360329
3.23057175,0.00203169
3.24249268,0.00314295
3.25441360,0.00185891
3.26633453,0.00111145
3.27825546,0.00184610
3.29017639,0.00535602
3.30209732,0.00922903
3.31401825,0.00579386
3.32593918,0.00065187
3.33786011,0.00666304
3.34978104,0.01042642
3.36170197,0.00521054
3.37362289,0.00136906
3.38554382,0.00348423
3.39746475,0.00460597
3.40938568,0.00439008
3.42130661,0.00269053
3.43322754,0.00261471
3.44514847,0.00292027
3.45706940,0.00293422
3.46899033,0.00444789
3.48091125,0.11463950
3.49283218,0.38181460
3.50475311,0.42786540
3.51667404,0.17122840
3.52859497,0.01489422
3.54051590,0.00489263
3.55243683,0.00419076
3.56435776,0.00173793
3.57627869,0.00128428
3.58819962,0.00254160
3.60012054,0.00409134
3.61204147,0.00419723
3.62396240,0.00202442
3.63588333,0.00662015
3.64780426,0.01250151
3.65972519,0.01068764
3.67164612,0.00349734
3.68356705,0.00384065
3.69548798,0.00660475
3.70740891,0.00546340
3.71932983,0.00288916
3.73125076,0.00267955
3.74317169,0.00420472
3.75509262,0.00305578
3.76701355,0.00194144
3.77893448,0.00150605
3.79085541,0.00440616
3.80277634,0.00761589
3.81469727,0.00447982
3.82661819,0.00118031
3.83853912,0.01006863
3.85046005,0.01466723
3.86238098,0.00760044
3.87430191,0.00156842
3.88622284,0.00183232
3.89814377,0.00284164
3.91006470,0.00336939
3.92198563,0.00175640
3.93390656,0.00356430
3.94582748,0.00464355
3.95774841,0.00495061
3.96966934,0.00494270
3.98159027,0.08125763
3.99351120,0.25106750
4.00543213,0.26660450
4.01735306,0.10076960
4.02927399,0.00843663
4.04119492,0.00536265
4.05311584,0.00489157
4.06503677,0.00281956
4.07695770,0.00140314
4.08887863,0.00128079
4.10079956,0.00336850
4.11272049,0.00331102
4.12464142,0.00211668
4.13656235,0.00841011
4.14848328,0.01648282
4.16040421,0.01331637
4.17232513,0.00348601
4.18424606,0.00289492
4.19616699,0.00419211
4.20808792,0.00361339
4.22000885,0.00211574
4.23192978,0.00293228
4.24385071,0.00472697
4.25577164,0.00389060
4.26769257,0.00234035
4.27961349,0.00054541
4.29153442,0.00305616
4.30345535,0.00540968
4.31537628,0.00302698
4.32729721,0.00206840
4.33921814,0.01299865
4.35113907,0.01765942
4.36306000,0.00904849
4.37498093,0.00238118
4.38690186,0.00136564
4.39882278,0.00168012
4.41074371,0.00224714
4.42266464,0.00130940
4.43458557,0.00346664
4.44650650,0.00530553
4.45842743,0.00576857
4.47034836,0.00397730
4.48226929,0.04240747
4.49419022,0.12117210
4.50611115,0.12190080
4.51803207,0.04375526
4.52995300,0.00432573
4.54187393,0.00626875
4.55379486,0.00566324
4.56571579,0.00327802
4.57763672,0.00130035
4.58955765,0.00015659
4.60147858,0.00180933
4.61339951,0.00201980
4.62532043,0.00290059
4.63724136,0.01078991
4.64916229,0.02024656
4.66108322,0.01535534
4.67300415,0.00350838
4.68492508,0.00112653
4.69684601,0.00085690
4.70876694,0.00175817
4.72068787,0.00165779
4.73260880,0.00261286
4.74452972,0.00446246
4.75645065,0.00445555
4.76837158,0.00281638
4.78029251,0.00070233
4.79221344,0.00141175
4.80413437,0.00204425
4.81605530,0.00092496
4.82797623,0.00303228
4.83989716,0.01448024
4.85181808,0.01871542
4.86373901,0.00944255
4.87565994,0.00242157
4.88758087,0.00073608
4.89950180,0.00062839
4.91142273,0.00154925
4.92334366,0.00157482
4.93526459,0.00363776
4.94718552,0.00626235
4.95910645,0.00667731
4.97102737,0.00247584
4.98294830,0.00135253
4.99486923,0.00117384
5.00679016,0.00160084
5.01871109,0.00174216
5.03063202,0.00288653
5.04255295,0.00633304
5.05447388,0.00556927
5.06639481,0.00344924
5.07831573,0.00127529
5.09023666,0.00112378
5.10215759,0.00057048
5.11407852,0.00115017
5.12599945,0.00308727
5.13792038,0.01156462
5.14984131,0.02110374
5.16176224,0.01485176
5.17368317,0.00269903
5.18560410,0.00129773
5.19752502,0.00218295
5.20944595,0.00097088
5.22136688,0.00085284
5.23328781,0.00320291
5.24520874,0.00481518
5.25712967,0.00508741
5.26905060,0.00322447
5.28097153,0.00158943
5.29289246,0.00163771
5.30481339,0.00097146
5.31673431,0.00137079
5.32865524,0.00383591
5.34057617,0.01460016
5.35249710,0.01748776
5.36441803,0.00852960
5.37633896,0.00217049
5.38825989,0.00198578
5.40018082,0.00175054
5.41210175,0.00019827
5.42402267,0.00136852
5.43594360,0.00334446
5.44786453,0.00613677
5.45978546,0.00631929
5.47170639,0.00201265
5.48362732,0.03897035
5.49554825,0.10221110
5.50746918,0.09215564
5.51939011,0.02736170
5.53131104,0.00278323
5.54323196,0.00587582
5.55515289,0.00540523
5.56707382,0.00336134
5.57899475,0.00165019
5.59091568,0.00283076
5.60283661,0.00186044
5.61475754,0.00137241
5.62667847,0.00264921
5.63859940,0.01088204
5.65052032,0.01959222
5.66244125,0.01292525
5.67436218,0.00170336
5.68628311,0.00301991
5.69820404,0.00506130
5.71012497,0.00236602
5.72204590,0.00076786
5.73396683,0.00286798
5.74588776,0.00413163
5.75780869,0.00461567
5.76972961,0.00251247
5.78165054,0.00239552
5.79357147,0.00352169
5.80549240,0.00361856
5.81741333,0.00216911
5.82933426,0.00406861
5.84125519,0.01329799
5.85317612,0.01507166
5.86509705,0.00736826
5.87701797,0.00192510
5.88893890,0.00337540
5.90085983,0.00317656
5.91278076,0.00127034
5.92470169,0.00157725
5.93662262,0.00293061
5.94854355,0.00582953
5.96046448,0.00573023
5.97238541,0.00482860
5.98430634,0.07571949
5.99622726,0.18338850
6.00814819,0.15641670
6.02006912,0.04403936
6.03199005,0.00300450
6.04391098,0.00513542
6.05583191,0.00502905
6.06775284,0.00309527
6.07967377,0.00179081
6.09159470,0.00338856
6.10351563,0.00270887
6.11543655,0.00206326
6.12735748,0.00192305
6.13927841,0.00940013
6.15119934,0.01682041
6.16312027,0.01036441
6.17504120,0.00063890
6.18696213,0.00491339
6.19888306,0.00737002
6.21080399,0.00377808
6.22272491,0.00123758
6.23464584,0.00185631
6.24656677,0.00289784
6.25848770,0.00391498
6.27040863,0.00213987
6.28232956,0.00303548
6.29425049,0.00557513
6.30617142,0.00656101
6.31809235,0.00328469
6.33001328,0.00314029
6.34193420,0.00981476
6.35385513,0.01084904
6.36577606,0.00582812
6.37769699,0.00236875
6.38961792,0.00435086
6.40153885,0.00419949
6.41345978,0.00226568
6.42538071,0.00121708
6.43730164,0.00167290
6.44922256,0.00455914
6.46114349,0.00431605
6.47306442,0.00858329
6.48498535,0.10428840
6.49690628,0.23678740
6.50882721,0.19144660
6.52074814,0.05050112
6.53266907,0.00277823
6.54459000,0.00350285
6.55651093,0.00392745
6.56843185,0.00278075
6.58035278,0.00258176
6.59227371,0.00447183
6.60419464,0.00427691
6.61611557,0.00300853
6.62803650,0.00100467
6.63995743,0.00658893
6.65187836,0.01167534
6.66379929,0.00657577
6.67572021,0.00070163
6.68764114,0.00653709
6.69956207,0.00905359
6.71148300,0.00488602
6.72340393,0.00186082
6.73532486,0.00126035
6.74724579,0.00205432
6.75916672,0.00317381
6.77108765,0.00200976
6.78300858,0.00418899
6.79492950,0.00778453
6.80685043,0.00869398
6.81877136,0.00382897
6.83069229,0.00260093
6.84261322,0.00582705
6.85453415,0.00613845
6.86645508,0.00373887
6.87837601,0.00201440
6.89029694,0.00461148
6.90221786,0.00449909
6.91413879,0.00303144
6.92605972,0.00140526
