Время,Канал A
(uс),(В)

-623.18448909,0.79424420
-623.02448909,0.88244270
-622.86448909,0.97079380
-622.70448909,1.05899200
-622.54448909,1.10309100
-622.38448909,1.19144300
-622.22448909,1.27964100
-622.06448909,1.32374000
-621.90448909,1.36784000
-621.74448910,1.45619100
-621.58448910,1.50029000
-621.42448910,1.54438900
-621.26448910,1.58848800
-621.10448910,1.63274000
-620.94448910,1.67683900
-620.78448910,1.72093900
-620.62448910,1.76503800
-620.46448910,1.80913700
-620.30448910,1.80913700
-620.14448910,1.85338900
-619.98448911,1.85338900
-619.82448911,1.85338900
-619.66448911,1.89748800
-619.50448911,1.89748800
-619.34448911,1.85338900
-619.18448911,1.85338900
-619.02448911,1.89748800
-618.86448911,1.80913700
-618.70448911,1.80913700
-618.54448911,1.80913700
-618.38448912,1.80913700
-618.22448912,1.72093900
-618.06448912,1.72093900
-617.90448912,1.63274000
-617.74448912,1.63274000
-617.58448912,1.54438900
-617.42448912,1.50029000
-617.26448912,1.45619100
-617.10448912,1.36784000
-616.94448912,1.27964100
-616.78448913,1.23554200
-616.62448913,1.19144300
-616.46448913,1.10309100
-616.30448913,1.01489300
-616.14448913,0.92654190
-615.98448913,0.83834340
-615.82448913,0.75014500
-615.66448913,0.70589310
-615.50448913,0.57359540
-615.34448913,0.48524430
-615.18448913,0.39704580
-615.02448914,0.30884730
-614.86448914,0.22049620
-614.70448914,0.13229770
-614.54448914,0.04394665
-614.38448914,-0.04425184
-614.22448914,-0.13245030
-614.06448914,-0.26474810
-613.90448914,-0.30884730
-613.74448914,-0.44129770
-613.58448914,-0.52949610
-613.42448915,-0.61784720
-613.26448915,-0.75014500
-613.10448915,-0.83849600
-612.94448915,-0.92669450
-612.78448915,-1.01504600
-612.62448915,-1.05914500
-612.46448915,-1.14734300
-612.30448915,-1.19144300
-612.14448915,-1.27979400
-611.98448915,-1.36799200
-611.82448916,-1.45634300
-611.66448916,-1.50044300
-611.50448916,-1.54454200
-611.34448916,-1.63274000
-611.18448916,-1.67699200
-611.02448916,-1.72109100
-610.86448916,-1.76519100
-610.70448916,-1.76519100
-610.54448916,-1.80929000
-610.38448916,-1.85338900
-610.22448917,-1.89764100
-610.06448917,-1.89764100
-609.90448917,-1.89764100
-609.74448917,-1.89764100
-609.58448917,-1.89764100
-609.42448917,-1.94174000
-609.26448917,-1.89764100
-609.10448917,-1.89764100
-608.94448917,-1.89764100
-608.78448917,-1.89764100
-608.62448917,-1.85338900
-608.46448918,-1.80929000
-608.30448918,-1.80929000
-608.14448918,-1.76519100
-607.98448918,-1.72109100
-607.82448918,-1.67699200
-607.66448918,-1.63274000
-607.50448918,-1.54454200
-607.34448918,-1.50044300
