Удаление хорды от оси, см	Интенсивность, отн. ед.
 0.00000000000000E+0000	 3.02747476228255E-0003
 5.00000000000000E-0002	 3.01568053374959E-0003
 1.00000000000000E-0001	 3.00432568199086E-0003
 1.50000000000000E-0001	 2.92559495304030E-0003
 2.00000000000000E-0001	 2.81722115069469E-0003
 2.50000000000000E-0001	 2.57804050431216E-0003
 3.00000000000000E-0001	 2.49760510268562E-0003
 3.50000000000000E-0001	 2.35800040529486E-0003
 4.00000000000000E-0001	 2.19617971066373E-0003
 4.50000000000000E-0001	 2.14280090654337E-0003
 5.00000000000000E-0001	 2.04740681035470E-0003
 5.50000000000000E-0001	 1.80369280857394E-0003
 6.00000000000000E-0001	 1.67378843297173E-0003
 6.50000000000000E-0001	 1.49843028934618E-0003
 7.00000000000000E-0001	 1.34657898347589E-0003
 7.50000000000000E-0001	 1.18049267368976E-0003
 8.00000000000000E-0001	 1.08278260907752E-0003
 8.50000000000000E-0001	 8.97150187538777E-0004
 9.00000000000000E-0001	 7.33444171339769E-0004
 9.50000000000000E-0001	 5.98246912033165E-0004
 1.00000000000000E+0000	 4.36937367809056E-0004
 1.05000000000000E+0000	 2.35625023225025E-0004
 1.10000000000000E+0000	 1.69251074445307E-0005
 1.15000000000000E+0000	 9.46521349370760E-0006
 1.20000000000000E+0000	 1.00765470747324E-0005
 1.25000000000000E+0000	 9.80331096868204E-0006
 1.30000000000000E+0000	 9.62438608917789E-0006
 1.35000000000000E+0000	 1.00673003775955E-0005
 1.40000000000000E+0000	 9.69685210456385E-0006
 1.45000000000000E+0000	 1.02019032845596E-0005
 1.50000000000000E+0000	 1.03110480194118E-0005
 1.55000000000000E+0000	 9.84841452698725E-0006
 1.60000000000000E+0000	 1.01532172882531E-0005
 1.65000000000000E+0000	 1.03582413296832E-0005
 1.70000000000000E+0000	 1.04406639763573E-0005
 1.75000000000000E+0000	 1.05066453119074E-0005
 1.80000000000000E+0000	 1.00894463501251E-0005
 1.85000000000000E+0000	 1.02508287148607E-0005
 1.90000000000000E+0000	 1.03373306206948E-0005
 1.95000000000000E+0000	 1.06511651895998E-0005
 2.00000000000000E+0000	 1.01980483391073E-0005
 2.05000000000000E+0000	 1.11795409198069E-0005
 2.10000000000000E+0000	 1.05325969447976E-0005
 2.15000000000000E+0000	 1.10137807225265E-0005
 2.20000000000000E+0000	 1.04278632575982E-0005
 2.25000000000000E+0000	 1.06819283098748E-0005
 2.30000000000000E+0000	 1.10985107009428E-0005
 2.35000000000000E+0000	 1.21669851033450E-0005
 2.40000000000000E+0000	 1.12233971635366E-0005
 2.45000000000000E+0000	 1.10587373307382E-0005
 2.50000000000000E+0000	 1.10752412624457E-0005
 2.55000000000000E+0000	 1.16588087701543E-0005
 2.60000000000000E+0000	 1.24984698879934E-0005
 2.65000000000000E+0000	 1.20046441939433E-0005
 2.70000000000000E+0000	 1.24371700865379E-0005
 2.75000000000000E+0000	 1.26251559729398E-0005
 2.80000000000000E+0000	 1.31553785369252E-0005
 2.85000000000000E+0000	 1.41164024559538E-0005
 2.90000000000000E+0000	 1.28241074001292E-0005
 2.95000000000000E+0000	 1.37461292028248E-0005
 3.00000000000000E+0000	 1.33175975438303E-0005
 3.05000000000000E+0000	 1.43574004705605E-0005
 3.10000000000000E+0000	 1.54046867909577E-0005
 3.15000000000000E+0000	 1.59869296231336E-0005
 3.20000000000000E+0000	 1.51103810280529E-0005
 3.25000000000000E+0000	 1.61379287513296E-0005
 3.30000000000000E+0000	 1.84691982221927E-0005
 3.35000000000000E+0000	 1.67225999418900E-0005
 3.40000000000000E+0000	 1.67407367534547E-0005
 3.45000000000000E+0000	 1.57895289021863E-0005
 3.50000000000000E+0000	 1.32993882204438E-0005
 3.55000000000000E+0000	 1.52980562912242E-0005
 3.60000000000000E+0000	 1.39104796113118E-0005
 3.65000000000000E+0000	 1.30227766121881E-0005
 3.70000000000000E+0000	 1.19330262739203E-0005
 3.75000000000000E+0000	 1.23150002729078E-0005
 3.80000000000000E+0000	 1.13768860158678E-0005
 3.85000000000000E+0000	 1.07282731260203E-0005
 3.90000000000000E+0000	 1.18236880791113E-0005
 3.95000000000000E+0000	 1.22232359846906E-0005
 4.00000000000000E+0000	 1.00869734870366E-0005
 4.05000000000000E+0000	 1.10904183076022E-0005
 4.10000000000000E+0000	 1.09590713572881E-0005
 4.15000000000000E+0000	 1.27965983672449E-0005
 4.20000000000000E+0000	 1.05513124377122E-0005
 4.25000000000000E+0000	 1.08643249315724E-0005
 4.30000000000000E+0000	 1.27965313420440E-0005
 4.35000000000000E+0000	 1.16326652217752E-0005
 4.40000000000000E+0000	 1.02902259731022E-0005
 4.45000000000000E+0000	 1.08164833854870E-0005
 4.50000000000000E+0000	 1.10816915447036E-0005
 4.55000000000000E+0000	 1.18088261924907E-0005
 4.60000000000000E+0000	 1.28597296750390E-0005
 4.65000000000000E+0000	 1.38143415975238E-0005
 4.70000000000000E+0000	 1.49463437245613E-0005
 4.75000000000000E+0000	 1.69111088568273E-0005
 4.80000000000000E+0000	 1.36302979043077E-0005
 4.85000000000000E+0000	 1.17670634976194E-0005
 4.90000000000000E+0000	 9.45076791160080E-0006
 4.95000000000000E+0000	 9.75500933192741E-0006
 5.00000000000000E+0000	 1.02389554906769E-0005
 5.05000000000000E+0000	 1.13615675434557E-0005
 5.10000000000000E+0000	 1.25461244659979E-0005
 5.15000000000000E+0000	 1.23737008563330E-0005
 5.20000000000000E+0000	 1.28892946953402E-0005
 5.25000000000000E+0000	 8.41657501707682E-0006
 5.30000000000000E+0000	 6.97674899521300E-0006
 5.35000000000000E+0000	 7.33837063244927E-0006
 5.40000000000000E+0000	 8.23890234240676E-0006
 5.45000000000000E+0000	 7.16438890366166E-0006
 5.50000000000000E+0000	 7.99045072337066E-0006
 5.55000000000000E+0000	 9.24101285743196E-0006
 5.60000000000000E+0000	 8.13516338040107E-0006
 5.65000000000000E+0000	 9.49803766024062E-0006
 5.70000000000000E+0000	 7.01595828549632E-0006
 5.75000000000000E+0000	 5.80534747643651E-0006
 5.80000000000000E+0000	 5.62454519388164E-0006
 5.85000000000000E+0000	 4.11302179508592E-0006
 5.90000000000000E+0000	 3.70643289435930E-0006
 5.95000000000000E+0000	 3.63254802522228E-0006
 6.00000000000000E+0000	 4.02475873498460E-0006
 6.05000000000000E+0000	 3.97043369666391E-0006
 6.10000000000000E+0000	 4.24174893353880E-0006
 6.15000000000000E+0000	 4.19195307709959E-0006
 6.20000000000000E+0000	 4.90871288813196E-0006
 6.25000000000000E+0000	 5.05245487637515E-0006
 6.30000000000000E+0000	 4.22295689181477E-0006
 6.35000000000000E+0000	 4.34189997073577E-0006
 6.40000000000000E+0000	 4.63525587298039E-0006
 6.45000000000000E+0000	 5.19445459727373E-0006
 6.50000000000000E+0000	 6.01519303701749E-0006
 6.55000000000000E+0000	 4.94197316687879E-0006
 6.60000000000000E+0000	 5.96509759758810E-0006
 6.65000000000000E+0000	 6.13563093132006E-0006
 6.70000000000000E+0000	 3.56572552953907E-0006
 6.75000000000000E+0000	 3.15065563278708E-0006
 6.80000000000000E+0000	 3.13137145445120E-0006
 6.85000000000000E+0000	 3.33661595909549E-0006
 6.90000000000000E+0000	 3.18548133764807E-0006
 6.95000000000000E+0000	 3.52907393201153E-0006
 7.00000000000000E+0000	 3.64723569211075E-0006
 7.05000000000000E+0000	 4.30122768310947E-0006
 7.10000000000000E+0000	 4.85720880357199E-0006
 7.15000000000000E+0000	 5.30247371465825E-0006
 7.20000000000000E+0000	 4.98537225515003E-0006
 7.25000000000000E+0000	 2.74795079600289E-0006
 7.30000000000000E+0000	 2.90187977587451E-0006
 7.35000000000000E+0000	 3.03789547039732E-0006
 7.40000000000000E+0000	 3.50077892435804E-0006
 7.45000000000000E+0000	 3.98956421117595E-0006
 7.50000000000000E+0000	 3.19280069671066E-0006
 7.55000000000000E+0000	 3.59618829950376E-0006
 7.60000000000000E+0000	 2.51900106414055E-0006
 7.65000000000000E+0000	 2.53399654914657E-0006
 7.70000000000000E+0000	 2.55484830036122E-0006
 7.75000000000000E+0000	 2.58232414122208E-0006
 7.80000000000000E+0000	 2.55823241672627E-0006
 7.85000000000000E+0000	 3.11642481172524E-0006
 7.90000000000000E+0000	 3.31808064634899E-0006
 7.95000000000000E+0000	 4.08413137211610E-0006
 8.00000000000000E+0000	 2.96701925193481E-0006
 8.05000000000000E+0000	 3.10997110586933E-0006
 8.10000000000000E+0000	 3.50718204374228E-0006
 8.15000000000000E+0000	 3.52229766286827E-0006
 8.20000000000000E+0000	 2.73210719286839E-0006
 8.25000000000000E+0000	 2.99469308216572E-0006
 8.30000000000000E+0000	 3.85460311034397E-0006
 8.35000000000000E+0000	 3.67793312427874E-0006
 8.40000000000000E+0000	 1.85280078377328E-0006
 8.45000000000000E+0000	 1.87819540074595E-0006
 8.50000000000000E+0000	 2.29510409223116E-0006
 8.55000000000000E+0000	 2.17680699245037E-0006
 8.60000000000000E+0000	 1.38524892930775E-0006
 8.65000000000000E+0000	 1.40911071233624E-0006
 8.70000000000000E+0000	 1.63006177001902E-0006
 8.75000000000000E+0000	 1.93112426641786E-0006
 8.80000000000000E+0000	 2.41716421198394E-0006
 8.85000000000000E+0000	 1.35077088910061E-0006
 8.90000000000000E+0000	 1.43401698324418E-0006
 8.95000000000000E+0000	 1.52911236223618E-0006
 9.00000000000000E+0000	 1.93373032493169E-0006
 9.05000000000000E+0000	 2.41089760482799E-0006
 9.10000000000000E+0000	 8.81377181086948E-0007
 9.15000000000000E+0000	 9.05257341552647E-0007
 9.20000000000000E+0000	 8.65077519573713E-0007
 9.25000000000000E+0000	 9.82102550294994E-0007
 9.30000000000000E+0000	 1.10885166163533E-0006
 9.35000000000000E+0000	 1.04481005662791E-0006
 9.40000000000000E+0000	 1.16183508734919E-0006
 9.45000000000000E+0000	 1.36544778486909E-0006
 9.50000000000000E+0000	 1.52852325058080E-0006
 9.55000000000000E+0000	 2.02889351587618E-0006
 9.60000000000000E+0000	 2.53352857454599E-0006
 9.65000000000000E+0000	 1.87747135932842E-0006
 9.70000000000000E+0000	 3.97126225104534E-0007
 9.75000000000000E+0000	 4.61167830111954E-0007
 9.80000000000000E+0000	 3.25879908411115E-0007
 9.85000000000000E+0000	 4.61167830111954E-0007
 9.90000000000000E+0000	 4.61167830111954E-0007
 9.95000000000000E+0000	 4.85029613140441E-0007
 1.00000000000000E+0001	 5.32414146805373E-0007
 1.00500000000000E+0001	 5.56275929833859E-0007
 1.01000000000000E+0001	 5.56275929833859E-0007
 1.01500000000000E+0001	 5.80137712862346E-0007
 1.02000000000000E+0001	 6.03999495890832E-0007
 1.02500000000000E+0001	 6.75245812584250E-0007
 1.03000000000000E+0001	 7.94215695334642E-0007
 1.03500000000000E+0001	 1.04847349978587E-0006
 1.04000000000000E+0001	 1.38152136500855E-0006
 1.04500000000000E+0001	 1.30857988635493E-0006
 1.05000000000000E+0001	 2.39885135953661E-0007
 1.05500000000000E+0001	 2.39885135953661E-0007
 1.06000000000000E+0001	 1.99723691411939E-0007
 1.06500000000000E+0001	 1.99723691411939E-0007
 1.07000000000000E+0001	 2.39885135953661E-0007
 1.07500000000000E+0001	 2.63765296419360E-0007
 1.08000000000000E+0001	 1.99723691411939E-0007
 1.08500000000000E+0001	 2.63765296419360E-0007
 1.09000000000000E+0001	 2.63765296419360E-0007
 1.09500000000000E+0001	 2.63765296419360E-0007
 1.10000000000000E+0001	 2.63765296419360E-0007
 1.10500000000000E+0001	 2.87645456885059E-0007
 1.11000000000000E+0001	 2.87645456885059E-0007
 1.11500000000000E+0001	 3.27806901426781E-0007
 1.12000000000000E+0001	 2.87645456885059E-0007
 1.12500000000000E+0001	 3.51687061892480E-0007
 1.13000000000000E+0001	 3.51687061892480E-0007
 1.13500000000000E+0001	 3.75567222358179E-0007
 1.14000000000000E+0001	 4.39608827365600E-0007
 1.14500000000000E+0001	 4.87369148296998E-0007
 1.15000000000000E+0001	 5.75290913770118E-0007
 1.15500000000000E+0001	 7.75014605182057E-0007
 1.16000000000000E+0001	 1.08654022253281E-0006
 1.16500000000000E+0001	 1.02466568011873E-0006
 1.17000000000000E+0001	 0.00000000000000E+0000
 1.17500000000000E+0001	 0.00000000000000E+0000
 1.18000000000000E+0001	 0.00000000000000E+0000
 1.18500000000000E+0001	 0.00000000000000E+0000
 1.19000000000000E+0001	 0.00000000000000E+0000
 1.19500000000000E+0001	 0.00000000000000E+0000
 1.20000000000000E+0001	 0.00000000000000E+0000
 1.20500000000000E+0001	 0.00000000000000E+0000
 1.21000000000000E+0001	 0.00000000000000E+0000
 1.21500000000000E+0001	 0.00000000000000E+0000
 1.22000000000000E+0001	 0.00000000000000E+0000
 1.22500000000000E+0001	 0.00000000000000E+0000
 1.23000000000000E+0001	 0.00000000000000E+0000
 1.23500000000000E+0001	 0.00000000000000E+0000
 1.24000000000000E+0001	 0.00000000000000E+0000
 1.24500000000000E+0001	 0.00000000000000E+0000
 1.25000000000000E+0001	 0.00000000000000E+0000
