Удаление хорды от оси, см	Интенсивность, отн. ед.
 0.00000000000000E+0000	 8.93605649014919E-0004
 5.00000000000000E-0002	 8.93934353708717E-0004
 1.00000000000000E-0001	 8.51940555786796E-0004
 1.50000000000000E-0001	 8.40914614890011E-0004
 2.00000000000000E-0001	 7.99460887651945E-0004
 2.50000000000000E-0001	 7.50620576578136E-0004
 3.00000000000000E-0001	 7.41432664460166E-0004
 3.50000000000000E-0001	 6.86871353596274E-0004
 4.00000000000000E-0001	 6.34286639885336E-0004
 4.50000000000000E-0001	 5.84656996332514E-0004
 5.00000000000000E-0001	 5.29852889070514E-0004
 5.50000000000000E-0001	 4.60013314679934E-0004
 6.00000000000000E-0001	 3.94961502689499E-0004
 6.50000000000000E-0001	 3.32069740021895E-0004
 7.00000000000000E-0001	 2.84775500194944E-0004
 7.50000000000000E-0001	 2.55599817270288E-0004
 8.00000000000000E-0001	 2.23538204265243E-0004
 8.50000000000000E-0001	 1.98491759684354E-0004
 9.00000000000000E-0001	 1.61103968417842E-0004
 9.50000000000000E-0001	 1.29863246721388E-0004
 1.00000000000000E+0000	 8.29631217311228E-0005
 1.05000000000000E+0000	 4.50445772031005E-0005
 1.10000000000000E+0000	 9.85282498285561E-0007
 1.15000000000000E+0000	 4.72851798939267E-0007
 1.20000000000000E+0000	 4.72851798939267E-0007
 1.25000000000000E+0000	 4.82694202486472E-0007
 1.30000000000000E+0000	 4.91262227780956E-0007
 1.35000000000000E+0000	 5.63723641939625E-0007
 1.40000000000000E+0000	 4.72851798939267E-0007
 1.45000000000000E+0000	 4.72851798939267E-0007
 1.50000000000000E+0000	 5.46139586785531E-0007
 1.55000000000000E+0000	 4.72851798939267E-0007
 1.60000000000000E+0000	 4.82694202486472E-0007
 1.65000000000000E+0000	 5.36757185217783E-0007
 1.70000000000000E+0000	 5.31535956257583E-0007
 1.75000000000000E+0000	 5.38806923355255E-0007
 1.80000000000000E+0000	 4.72851798939267E-0007
 1.85000000000000E+0000	 5.36297183238326E-0007
 1.90000000000000E+0000	 5.89286468975734E-0007
 1.95000000000000E+0000	 5.74865159188567E-0007
 2.00000000000000E+0000	 5.85904066962800E-0007
 2.05000000000000E+0000	 5.72539497703438E-0007
 2.10000000000000E+0000	 5.44131639814944E-0007
 2.15000000000000E+0000	 5.68705376385207E-0007
 2.20000000000000E+0000	 5.25173241564648E-0007
 2.25000000000000E+0000	 5.10889069290979E-0007
 2.30000000000000E+0000	 6.00792330092333E-0007
 2.35000000000000E+0000	 6.48951340010743E-0007
 2.40000000000000E+0000	 6.63195827222102E-0007
 2.45000000000000E+0000	 6.30430165727727E-0007
 2.50000000000000E+0000	 5.99791239127938E-0007
 2.55000000000000E+0000	 6.99196458058062E-0007
 2.60000000000000E+0000	 6.19223779642866E-0007
 2.65000000000000E+0000	 6.25427146838145E-0007
 2.70000000000000E+0000	 6.82280511813307E-0007
 2.75000000000000E+0000	 7.34786839691273E-0007
 2.80000000000000E+0000	 8.50214574131533E-0007
 2.85000000000000E+0000	 9.75015821505825E-0007
 2.90000000000000E+0000	 6.68933183596671E-0007
 2.95000000000000E+0000	 6.98694498406807E-0007
 3.00000000000000E+0000	 6.36216887264444E-0007
 3.05000000000000E+0000	 6.98093301964842E-0007
 3.10000000000000E+0000	 6.99567176004379E-0007
 3.15000000000000E+0000	 7.92840294413572E-0007
 3.20000000000000E+0000	 5.74387761561590E-0007
 3.25000000000000E+0000	 6.82912379832772E-0007
 3.30000000000000E+0000	 6.59780753018806E-0007
 3.35000000000000E+0000	 6.99402554296854E-0007
 3.40000000000000E+0000	 7.86466405950534E-0007
 3.45000000000000E+0000	 9.41682418295691E-0007
 3.50000000000000E+0000	 7.12509943920345E-0007
 3.55000000000000E+0000	 7.32178039085436E-0007
 3.60000000000000E+0000	 7.06726503400103E-0007
 3.65000000000000E+0000	 6.73707550628627E-0007
 3.70000000000000E+0000	 7.33347513421643E-0007
 3.75000000000000E+0000	 8.17012349149546E-0007
 3.80000000000000E+0000	 5.26080779384977E-0007
 3.85000000000000E+0000	 6.02411194033937E-0007
 3.90000000000000E+0000	 6.44408982536045E-0007
 3.95000000000000E+0000	 7.13816205761262E-0007
 4.00000000000000E+0000	 7.27460307320135E-0007
 4.05000000000000E+0000	 8.83486524744582E-0007
