Частота,Канал A
(kГц),(В)

0.00000000,5.83160100
0.01192093,2.53641800
0.02384186,0.43783630
0.03576279,0.00606274
0.04768372,0.00686114
0.05960464,0.00271197
0.07152557,0.00347457
0.08344650,0.00545783
0.09536743,0.00457310
0.10728836,0.00221667
0.11920929,0.00376516
0.13113022,0.00509169
0.14305115,0.00322940
0.15497208,0.00232815
0.16689301,0.00395705
0.17881393,0.00377455
0.19073486,0.00202354
0.20265579,0.00262238
0.21457672,0.00306831
0.22649765,0.00210440
0.23841858,0.00135035
0.25033951,0.00065124
0.26226044,0.00087535
0.27418137,0.00073029
0.28610229,0.00226668
0.29802322,0.00871408
0.30994415,0.01000450
0.32186508,0.00173698
0.33378601,0.01730756
0.34570694,0.03351426
0.35762787,0.02389916
0.36954880,0.00719082
0.38146973,0.00791786
0.39339066,0.00979220
0.40531158,0.00517738
0.41723251,0.00326161
0.42915344,0.00561863
0.44107437,0.00426233
0.45299530,0.00186817
0.46491623,0.00225790
0.47683716,0.00296442
0.48875809,0.00149720
0.50067902,0.00139642
0.51259995,0.00069771
0.52452087,0.00061585
0.53644180,0.00100219
0.54836273,0.00123377
0.56028366,0.00279097
0.57220459,0.00357614
0.58412552,0.00226741
0.59604645,0.00505683
0.60796738,0.00944750
0.61988831,0.00674837
0.63180923,0.00927757
0.64373016,0.03090655
0.65565109,0.03920950
0.66757202,0.01731400
0.67949295,0.00542425
0.69141388,0.01676545
0.70333481,0.01376797
0.71525574,0.00443053
0.72717667,0.00315802
0.73909760,0.00433148
0.75101852,0.00173388
0.76293945,0.00110781
0.77486038,0.00071893
0.78678131,0.00038401
0.79870224,0.00054343
0.81062317,0.00131535
0.82254410,0.00174011
0.83446503,0.00275652
0.84638596,0.00169955
0.85830688,0.00294960
0.87022781,0.00451083
0.88214874,0.00344932
0.89406967,0.00250032
0.90599060,0.00549483
0.91791153,0.00698833
0.92983246,0.00361991
0.94175339,0.00621478
0.95367432,0.00946767
0.96559525,0.00771258
0.97751617,0.26200610
0.98943710,1.29029700
1.00135803,1.90323900
1.01327896,1.02501200
1.02519989,0.14495890
1.03712082,0.00054992
1.04904175,0.00087273
1.06096268,0.00113215
1.07288361,0.00271436
1.08480453,0.00354588
1.09672546,0.00324370
1.10864639,0.00231930
1.12056732,0.00390037
1.13248825,0.00420203
1.14440918,0.00273589
1.15633011,0.00251945
1.16825104,0.00459304
1.18017197,0.00479751
1.19209290,0.00288181
1.20401382,0.00297837
1.21593475,0.00421612
1.22785568,0.00347759
1.23977661,0.00196906
1.25169754,0.00307042
1.26361847,0.00335651
1.27553940,0.00223774
1.28746033,0.00079060
1.29938126,0.00093632
1.31130219,0.00100744
1.32322311,0.00185404
1.33514404,0.01177730
1.34706497,0.01984046
1.35898590,0.01342153
1.37090683,0.00516030
1.38282776,0.00743046
1.39474869,0.00815648
1.40666962,0.00444469
1.41859055,0.00351675
1.43051147,0.00618414
1.44243240,0.00500892
1.45435333,0.00237717
1.46627426,0.00344017
1.47819519,0.00445324
1.49011612,0.00268967
1.50203705,0.00140341
1.51395798,0.00253517
1.52587891,0.00186866
1.53779984,0.00117071
1.54972076,0.00102269
1.56164169,0.00081567
1.57356262,0.00037374
1.58548355,0.00097112
1.59740448,0.00252690
1.60932541,0.00579112
1.62124634,0.00400640
1.63316727,0.00948415
1.64508820,0.02986424
1.65700912,0.03423787
1.66893005,0.01281521
1.68085098,0.00850259
1.69277191,0.01936622
1.70469284,0.01429376
1.71661377,0.00459410
1.72853470,0.00542359
1.74045563,0.00673635
1.75237656,0.00308464
1.76429749,0.00163261
1.77621841,0.00318357
1.78813934,0.00212037
1.80006027,0.00092518
1.81198120,0.00063902
1.82390213,0.00063027
1.83582306,0.00049256
1.84774399,0.00113760
1.85966492,0.00138699
1.87158585,0.00282171
1.88350677,0.00220094
1.89542770,0.00258958
1.90734863,0.00552468
1.91926956,0.00665473
1.93119049,0.00346418
1.94311142,0.00848115
1.95503235,0.01240618
1.96695328,0.00739960
1.97887421,0.29703940
1.99079514,1.24154400
2.00271606,1.63732200
2.01463699,0.78268610
2.02655792,0.09104656
2.03847885,0.00654156
2.05039978,0.00440816
2.06232071,0.00198138
2.07424164,0.00058932
2.08616257,0.00031140
2.09808350,0.00075862
2.11000443,0.00157944
2.12192535,0.00211691
2.13384628,0.00308792
2.14576721,0.00247268
2.15768814,0.00276530
2.16960907,0.00414027
2.18153000,0.00416221
2.19345093,0.00242581
2.20537186,0.00411117
2.21729279,0.00588476
2.22921371,0.00446011
2.24113464,0.00279065
2.25305557,0.00498159
2.26497650,0.00604359
2.27689743,0.00370071
2.28881836,0.00449095
2.30073929,0.00837388
2.31266022,0.00733509
2.32458115,0.00275786
2.33650208,0.00161742
2.34842300,0.00107710
2.36034393,0.00116136
2.37226486,0.00182450
2.38418579,0.00415154
2.39610672,0.00443699
2.40802765,0.00251479
2.41994858,0.00300580
2.43186951,0.00495226
2.44379044,0.00429062
2.45571136,0.00267652
2.46763229,0.00431078
2.47955322,0.00498216
2.49147415,0.00334727
2.50339508,0.00221119
2.51531601,0.00389164
2.52723694,0.00373430
2.53915787,0.00230134
2.55107880,0.00213759
2.56299973,0.00257048
2.57492065,0.00200222
2.58684158,0.00121715
2.59876251,0.00063325
2.61068344,0.00104574
2.62260437,0.00099426
2.63452530,0.00672652
2.64644623,0.02043738
2.65836716,0.02065360
2.67028809,0.00544256
2.68220901,0.00971237
2.69412994,0.01746174
2.70605087,0.01208382
2.71797180,0.00463957
2.72989273,0.00684322
2.74181366,0.00780116
2.75373459,0.00395633
2.76565552,0.00268429
2.77757645,0.00485734
2.78949738,0.00362600
2.80141830,0.00192021
2.81333923,0.00188076
2.82526016,0.00226855
2.83718109,0.00103113
2.84910202,0.00120302
2.86102295,0.00031746
2.87294388,0.00056758
2.88486481,0.00093781
2.89678574,0.00155244
2.90870667,0.00358942
2.92062759,0.00427815
2.93254852,0.00208131
2.94446945,0.00757195
2.95639038,0.01123362
2.96831131,0.00600279
2.98023224,0.29589030
2.99215317,1.06121600
3.00407410,1.25334500
3.01599503,0.53069380
3.02791595,0.05197950
3.03983688,0.01186695
3.05175781,0.00742243
3.06367874,0.00330104
3.07559967,0.00288927
3.08752060,0.00370621
3.09944153,0.00112392
3.11136246,0.00079607
3.12328339,0.00041978
3.13520432,0.00072075
3.14712524,0.00088273
3.15904617,0.00146051
3.17096710,0.00254975
3.18288803,0.00292358
3.19480896,0.00185735
3.20672989,0.00332023
3.21865082,0.00530777
3.23057175,0.00370658
3.24249268,0.00307925
3.25441360,0.00665628
3.26633453,0.00767706
3.27825546,0.00416829
3.29017639,0.00821511
3.30209732,0.01607590
3.31401825,0.01308827
3.32593918,0.00213309
3.33786011,0.01200378
3.34978104,0.01704710
3.36170197,0.00783105
3.37362289,0.00107450
3.38554382,0.00020448
3.39746475,0.00105803
3.40938568,0.00127328
3.42130661,0.00237752
3.43322754,0.00332104
3.44514847,0.00318494
3.45706940,0.00220386
3.46899033,0.00341797
3.48091125,0.00431623
3.49283218,0.00302419
3.50475311,0.00283636
3.51667404,0.00460263
3.52859497,0.00438295
3.54051590,0.00245084
3.55243683,0.00331219
3.56435776,0.00468013
3.57627869,0.00357819
3.58819962,0.00204618
3.60012054,0.00327903
3.61204147,0.00340628
3.62396240,0.00227785
3.63588333,0.00057549
3.64780426,0.00347464
3.65972519,0.00304648
3.67164612,0.00097547
3.68356705,0.00706750
3.69548798,0.01047339
3.70740891,0.00676242
3.71932983,0.00314757
3.73125076,0.00607636
3.74317169,0.00665205
3.75509262,0.00387362
3.76701355,0.00342011
3.77893448,0.00551344
3.79085541,0.00437658
3.80277634,0.00214051
3.81469727,0.00322049
3.82661819,0.00403573
3.83853912,0.00253643
3.85046005,0.00148722
3.86238098,0.00233028
3.87430191,0.00169572
3.88622284,0.00133656
3.89814377,0.00069480
3.91006470,0.00121292
3.92198563,0.00110895
3.93390656,0.00031022
3.94582748,0.00509305
3.95774841,0.00754651
3.96966934,0.00820907
3.98159027,0.24929080
3.99351120,0.77255590
4.00543213,0.81719750
4.01735306,0.30475410
4.02927399,0.02612734
4.04119492,0.01387254
4.05311584,0.00855897
4.06503677,0.00400358
4.07695770,0.00499940
4.08887863,0.00563596
4.10079956,0.00242425
4.11272049,0.00137863
4.12464142,0.00260060
4.13656235,0.00133552
4.14848328,0.00058268
4.16040421,0.00036757
4.17232513,0.00084763
4.18424606,0.00112914
4.19616699,0.00085602
4.20808792,0.00155658
4.22000885,0.00345045
4.23192978,0.00244486
4.24385071,0.00271508
4.25577164,0.00644079
4.26769257,0.00706189
4.27961349,0.00396184
4.29153442,0.01074352
4.30345535,0.01969600
4.31537628,0.01354456
4.32729721,0.00432573
4.33921814,0.02479195
4.35113907,0.03021408
4.36306000,0.01325924
4.37498093,0.00321673
4.38690186,0.00494370
4.39882278,0.00356128
4.41074371,0.00098919
4.42266464,0.00078565
4.43458557,0.00039288
4.44650650,0.00108737
4.45842743,0.00116004
4.47034836,0.00175648
4.48226929,0.00285616
4.49419022,0.00203705
4.50611115,0.00263337
4.51803207,0.00420955
4.52995300,0.00418449
4.54187393,0.00229457
4.55379486,0.00384617
4.56571579,0.00577569
4.57763672,0.00412372
4.58955765,0.00295712
4.60147858,0.00663974
4.61339951,0.00797144
4.62532043,0.00484336
4.63724136,0.00855636
4.64916229,0.01632353
4.66108322,0.01363352
4.67300415,0.00450243
4.68492508,0.00146122
4.69684601,0.00138380
4.70876694,0.00149244
4.72068787,0.00211360
4.73260880,0.00399014
4.74452972,0.00427596
4.75645065,0.00273619
4.76837158,0.00336674
4.78029251,0.00489949
4.79221344,0.00403114
4.80413437,0.00235461
4.81605530,0.00400937
4.82797623,0.00467723
4.83989716,0.00296313
4.85181808,0.00238771
4.86373901,0.00403453
4.87565994,0.00355536
4.88758087,0.00192567
4.89950180,0.00226210
4.91142273,0.00286700
4.92334366,0.00244794
4.93526459,0.00141597
4.94718552,0.00094115
4.95910645,0.00149969
4.97102737,0.00962402
4.98294830,0.15749180
4.99486923,0.42466970
5.00679016,0.40298420
5.01871109,0.13257960
5.03063202,0.01265665
5.04255295,0.01222777
5.05447388,0.00744031
5.06639481,0.00371459
5.07831573,0.00617006
5.09023666,0.00652921
5.10215759,0.00319733
5.11407852,0.00253197
5.12599945,0.00446060
5.13792038,0.00309179
5.14984131,0.00171885
5.16176224,0.00195232
5.17368317,0.00201757
5.18560410,0.00101481
5.19752502,0.00088567
5.20944595,0.00036024
5.22136688,0.00145853
5.23328781,0.00107581
5.24520874,0.00157605
5.25712967,0.00470133
5.26905060,0.00494522
5.28097153,0.00338535
5.29289246,0.01110386
5.30481339,0.01906417
5.31673431,0.01159090
5.32865524,0.00765890
5.34057617,0.03146338
5.35249710,0.03455713
5.36441803,0.01381565
5.37633896,0.00455784
5.38825989,0.00802935
5.40018082,0.00544150
5.41210175,0.00177662
5.42402267,0.00222627
5.43594360,0.00276014
5.44786453,0.00073109
5.45978546,0.00052844
5.47170639,0.00020480
5.48362732,0.00101973
5.49554825,0.00112206
5.50746918,0.00133593
5.51939011,0.00307620
5.53131104,0.00344565
5.54323196,0.00220335
5.55515289,0.00398479
5.56707382,0.00602421
5.57899475,0.00397314
5.59091568,0.00380738
5.60283661,0.00849096
5.61475754,0.00943332
5.62667847,0.00572471
5.63859940,0.01676041
5.65052032,0.03229340
5.66244125,0.02387434
5.67436218,0.00442949
5.68628311,0.00576924
5.69820404,0.00763831
5.71012497,0.00274168
5.72204590,0.00095826
5.73396683,0.00054382
5.74588776,0.00112702
5.75780869,0.00126428
5.76972961,0.00198531
5.78165054,0.00273505
5.79357147,0.00252176
5.80549240,0.00203503
5.81741333,0.00374128
5.82933426,0.00442931
5.84125519,0.00278258
5.85317612,0.00253496
5.86509705,0.00453833
5.87701797,0.00456632
5.88893890,0.00232818
5.90085983,0.00348920
5.91278076,0.00534358
5.92470169,0.00432538
5.93662262,0.00278773
5.94854355,0.00426552
5.96046448,0.00458256
5.97238541,0.00527333
5.98430634,0.03487742
5.99622726,0.08038892
6.00814819,0.06843011
6.02006912,0.02096453
6.03199005,0.00613853
6.04391098,0.00769122
6.05583191,0.00479849
6.06775284,0.00257361
6.07967377,0.00525264
6.09159470,0.00554368
6.10351563,0.00308418
6.11543655,0.00344922
6.12735748,0.00523532
6.13927841,0.00393859
6.15119934,0.00231452
6.16312027,0.00360291
6.17504120,0.00382931
6.18696213,0.00260119
6.19888306,0.00191442
6.21080399,0.00243500
6.22272491,0.00182268
6.23464584,0.00152127
6.24656677,0.00030865
6.25848770,0.00157931
6.27040863,0.00145210
6.28232956,0.00204200
6.29425049,0.00865402
6.30617142,0.01355480
6.31809235,0.00673791
6.33001328,0.01012367
6.34193420,0.03090371
6.35385513,0.03054291
6.36577606,0.01173271
6.37769699,0.00646091
6.38961792,0.01016542
6.40153885,0.00660040
6.41345978,0.00277094
6.42538071,0.00475732
6.43730164,0.00511985
6.44922256,0.00260929
6.46114349,0.00191093
6.47306442,0.00258920
6.48498535,0.00142154
6.49690628,0.00104749
6.50882721,0.00047226
6.52074814,0.00094748
6.53266907,0.00123365
6.54459000,0.00128087
6.55651093,0.00263377
6.56843185,0.00464468
6.58035278,0.00304696
6.59227371,0.00352268
6.60419464,0.00860164
6.61611557,0.00893899
6.62803650,0.00667138
6.63995743,0.02427858
6.65187836,0.04237576
6.66379929,0.02756581
6.67572021,0.00290557
6.68764114,0.01271556
6.69956207,0.01454305
6.71148300,0.00588816
6.72340393,0.00201915
6.73532486,0.00361077
6.74724579,0.00215947
6.75916672,0.00053456
6.77108765,0.00039348
6.78300858,0.00096788
6.79492950,0.00141474
6.80685043,0.00151028
6.81877136,0.00212435
6.83069229,0.00320683
6.84261322,0.00222071
6.85453415,0.00270889
6.86645508,0.00452994
6.87837601,0.00448364
6.89029694,0.00247015
6.90221786,0.00453803
6.91413879,0.00687618
6.92605972,0.00464814
