0.9,0.1
3,0.4
7.3,0.6
12.6,0.8
15.9,1
17.2,1.2
17.5,1.4
18,1.6
18.1,1.8
18.5,2.1
18.7,3
18.9,4.1
19.1,5
18.9,6
