0.25,0.5,0.75,1,1.25,1.5,1.75,2,2.5,3,3.75,4.5,5.5,6.5,7.5,9,10.5,12,13.5,15
1,20,44,54,63,68,72,73,79,86,91,100,111,119,127,135,141,143,145,145
