"U, В","I, мкА"
35,570
34,830
32.8,960
31.0,1129.1
29.4,1240
28,1360
26.9,1490
25,1840
24.2,2040
23,2390
21.7,2780
20.7,3135
20,3610
19.9,3900
19.6,4190
19.48,4390
19.42,4530
19.38,4630
19.34,4750
19.18,4940
18.8,5200
18.1,5800
20,3300
19.5,4300
19.2,4580
19.5,4250
19.7,4110
19.9,3420
20.9,2980
22,2680
23.5,2180
25.6,1680
26.7,1490
28,1330
29.8,1180
31.5,1060
32.8,980
33.7,890
34.6,680
35.7,368
