"U, В","I, мА","U_, В","I_, мА"
25,	50.6,	25,	43.4
24,	50.1,	24,	43
23,	49.5,	23,	42.6
22,	49.1,	22,	42.1
21,	48.6,	21,	41.7
20,	48,     20,	41.3
19,	47.6,	19,	40.8
18,	47,	    18,	40.3
17,	46.4, 	17,	39.8
16,	45.9, 	16,	39.3
15,	45,	    15,	38.6
14,	44.1,	14,	37.7
13,	43,	    13,	36.7
12,	41.8, 	12,	35.5
11,	40.3,	11,	34.1
10,	38.3,	10,	32.1
9,	35.7,	9,	29.7
8,	33.4,	8,	27.4
7,	30.2,	7,	24.3
6,	26.8,	6,	20.9
5,	23.5,	5,	17.6
4,	19.4,	4,	13.5
3,	15.2,	3,	9.4
2,	11,	    2,	5.1
1,	6.5,	1,	0.6
