"U, В","I, мА","U_, В","I_, мА"
25,	88.8,	25,	77.4
24,	88.1,	24,	76.6
23,	87.3,	23,	76
22,	86.6,	22,	75.3
21,	85.7,	21,	74.6
20,	84.8,	20,	73.7
19,	83.7,	19,	72.3
18,	82.7,	18,	71.9
17,	81.3,	17,	70.7
16,	79.7,	16,	69.3
15,	78,	    15,	67.6
14,	76, 	14,	65.8
13,	73.7,	13, 63.5
12,	71,	    12,	61
11,	67.9,	11,	57.9
10,	64.5,	10,	54.6
9,	60.5,	9,	50.6
8,	55.8,	8,	46
7,	50.1,	7,	40.1
6,	45.3,	6,	35.4
5,	30.9,	5,	29
4,	30.2,	4,	20.3
3,	23,	    3,	12.8
2,	14.5,	2,	4.2
1,	6.4,    1,	-3.9
