"U, В","I, мА","U_, В","I_, мА"
25, 27.7,	25,	23.3
24,  27.3,	24,	22.9
23,	27,	    23,	22.8
22,	26.7,	22,	22.5
21,	26.4,	21,	22.2
20,	26,	    20,	21.9
19,	25.7,	19,	21.7
18,	25.4,	18,	21.4
17,	25,	    17,	21.1
16,	24.7,	16,	20.8
15,	24.3,	15,	20.5
14,	23.9,	14,	20
13,	23.3,	13,	19.6
12,	22.7,	12,	19
11,	22.0,	11,	18.4
10,	21.1,	10,	17.6
9,	20.1,	9,	16.6
8,	18.9,	8,	15.5
7,	17.5,	7,	14.1
6,	15.7,	6,	12.4
5,	13.9,	5,	10.6
4,	11.8,	4,	8.5
3,	9.4,	3,	6.2
2,	6.9,    2,	3.6
1,	4.3,	1,	1.06
